PathwayL1	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Brite Hierarchies	20724052.179999795	21115954.439999875	24585231.660000328	24782414.740000103	25575703.050000172	24599527.5100005	15755503.750000061	19182873.100000557	22111281.019999992	17630730.55999993	19097620.67999969	19976985.15000024	23796172.789999742	26322175.28999975	22649064.819999885	23715060.73999988	24958625.920000244	22472668.880000163
Cellular Processes	3403130.5700000003	3213174.710000003	3921864.13	4070784.1300000036	4379558.199999993	4106693.179999994	2363696.1999999965	2826821.670000002	3300222.7499999995	2703168.630000005	2951231.409999999	3056561.53	3624308.7700000117	4162914.9900000007	3448954.540000004	3601804.7799999984	3878133.9299999997	3476953.259999998
Environmental Information Processing	4107073.640000003	4030041.580000011	4802444.75000001	4983009.429999992	5236444.979999989	4920460.509999987	2937318.049999996	3572983.5499999747	4170550.609999995	3407696.7900000014	3690719.1000000155	3815756.509999985	4501769.290000019	5103212.970000025	4273386.340000009	4546070.389999999	4857704.21	4258796.999999998
Genetic Information Processing	3327730.900000007	3605656.6300000073	4041224.4400000037	3939939.009999995	3939164.469999995	3890895.949999997	2723273.7900000005	3358656.319999995	3744722.659999999	2918807.380000003	3195119.6599999964	3371618.429999993	4034608.7100000097	4341552.140000008	3887686.2800000003	3996568.1899999934	4117244.1700000046	3817167.829999997
Human Diseases	2897728.5200000037	2709906.1700000013	3409366.6900000055	3377990.249999999	3700114.2999999933	3471789.6600000006	2055956.8199999956	2475982.099999997	2836237.610000001	2304650.9000000027	2563449.4200000046	2608593.959999998	3075167.4699999974	3535127.930000002	2978295.260000005	3125517.9000000022	3294482.5100000026	2992313.250000002
Metabolism	23181215.229999892	25064580.4099996	28207799.660000153	27708928.91999992	27629902.54999991	27047611.100000225	17883505.509999882	22370168.04000028	25534513.26999983	19984996.95999992	21863470.859999824	22424765.850000277	27461001.75999952	29626999.26000008	26093900.099999797	27787925.26999993	28735709.54000024	25821159.31000027
Not Included in Pathway or Brite	4423357.080000014	4595682.700000017	5368358.059999983	5309250.079999982	5385016.7599999895	5227218.999999987	3345843.509999996	4124847.9299999727	4844853.829999988	3820068.9	4074965.240000003	4237813.409999981	5093246.290000022	5564920.390000021	4811202.360000005	5133160.87000001	5348793.589999979	4806469.649999996
Organismal Systems	1430025.6299999997	1497832.7499999995	1688961.8999999992	1685703.8900000008	1705933.279999999	1677970.05	1076647.489999999	1326316.7900000007	1542017.0099999995	1203552.7900000007	1320064.7699999986	1345814.07	1684175.209999999	1836528.410000001	1581182.1799999992	1686966.5299999998	1747804.5300000005	1563998.7900000005
