pathway	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	10781.4356	11483.2812	14303.1967	12868.2966	12669.2121	13015.2118	9708.3752	12471.4283	12326.003	10398.949	11401.749	12636.5686	11715.5616	12253.4091	12858.3319	12730.2872	13087.5329	12810.6453
PWY-5177	glutaryl-CoA degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.9976	0.0	0.0	0.0
PWY-5178	toluene degradation IV (aerobic) (via catechol)	461.8014	353.87699999999995	569.948	463.9172	628.0567	362.2663	361.5173	731.7465	295.2884	480.6432	510.9977	655.0071	294.9672	381.1685	467.7089	466.2145	592.5868	490.3777
PWY-5180	toluene degradation I (aerobic) (via o-cresol)	3316.7848	4886.6408	5026.0223	4370.7306	3227.2159	3774.7058	3081.448	4094.8119	4162.2984	3261.4437	3869.6035	3873.9962	4386.7391	3822.1267	4479.1054	4762.6111	5078.1282	4353.264
PWY-5181	toluene degradation III (aerobic) (via p-cresol)	2179.0558	2238.647	2480.2243	2047.1481	2537.739	2444.2670000000003	1892.6088	2480.9757	1866.3433	2375.2661	2420.8128	2749.0741	1806.5944	2195.7898	2410.0906	2106.7014	2391.4314	2382.3783
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	3316.7848	4886.6408	5026.0223	4370.7306	3227.2159	3774.7058	3081.448	4094.8119	4162.2984	3261.4437	3869.6035	3873.9962	4386.7391	3822.1267	4479.1054	4762.6111	5078.1282	4353.264
PWY-5183	superpathway of aerobic toluene degradation	445.4052	317.8742	586.4755	616.2364	835.4333	463.6684	352.3015	665.4487	277.2487	466.1872	510.6161	655.9871	260.1063	433.9467	423.2201	457.2933	659.8607	465.7927
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	17343.0962	18651.7579	21056.4772	20478.5364	20387.3915	20168.0861	14223.5159	17782.3576	19643.9395	15251.2373	16654.4637	17606.1601	21045.6072	22583.0908	20260.3562	20840.8921	21529.6695	19980.8132
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	16618.24	18162.5239	20440.4929	19736.9441	19547.3716	19428.4062	13849.2786	17332.0767	19249.9652	14768.0064	16143.0902	17062.3356	20509.4978	22013.7583	19712.5167	20305.2255	20815.1733	19399.3664
PWY-5198	factor 420 biosynthesis	156.8779	291.0962	648.3622	149.7878	434.2675	513.2417	2597.5757	1903.8035	2096.6725	903.382	2342.7438	2790.0564	2770.4881	2709.1117	2239.6642	1777.7417	3168.4915	1085.5803
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	4629.0	3490.58	4036.0	4548.0	5787.0	4154.0	2565.39	3344.65	5120.47	2927.92	2538.0	3283.52	3979.0	5078.0	3113.17	4467.87	4128.0	3554.0
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	16300.2694	16852.8871	20048.5531	19215.8692	19618.3304	19444.7948	13111.6073	15856.7	18159.3437	14284.5815	15486.8462	16305.2729	18977.9096	20409.0572	18647.6378	19182.226000000002	19605.5581	18196.6116
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	10788.2776	13535.1126	13838.3918	13574.6987	10635.952	12792.5791	9749.8519	12888.6488	13518.8415	10363.0809	11431.0334	12196.5451	14340.8628	14076.2346	13848.8053	14407.6329	14681.0915	13398.1363
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	6825.7554	5409.4057	7811.209	8179.2965	9577.1073	9188.7324	4484.4234	4206.7029	6664.4594	4956.9674	5489.3069	6363.1832	7368.9903	8741.8013	6396.0375	6444.6386	7903.7085	5974.5788
PWY-5392	reductive TCA cycle II	0.0	270.9122	233.0327	315.7494	187.9616	277.8029	159.9274	267.1015	194.8717	38.4435	69.8316	256.7565	253.7769	160.346	194.9272	160.3279	177.6728	191.4523
PWY-5415	catechol degradation I (meta-cleavage pathway)	3052.7333	4736.899	4792.6332	4058.7211	2916.0815	3427.3983	2584.5833	3845.7927	3935.7728	3057.6085	3383.4485	3566.4453	4151.3237	3356.2493	4057.3233	4496.0008	4442.4905	3942.4054
PWY-5417	catechol degradation III (ortho-cleavage pathway)	1397.0225	1479.9303	1704.2811	2491.1791	2034.3247	2328.3005	1213.4537	1628.0323	1905.7289	1593.3994	1582.5736	1778.3701	1781.5405	2375.317	1562.3757	1477.4117	1929.5285	1587.114
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	1574.4942	1860.7922	2610.2241	1811.142	1633.089	1056.9904	1341.8375	1733.7169	1761.725	1641.0536	1834.5793	1561.9526	1719.8097	1450.1422	2058.2617	2105.7539	2018.6889	2336.3777
PWY-5420	catechol degradation II (meta-cleavage pathway)	1972.6672	2521.3499	3250.6283	2365.5965	1988.8955	1492.4345	1687.2015	2247.7509	2295.5976	2026.0894	2273.6063	2042.4576	2314.7293	1913.7448	2614.3977	2718.2207	2633.7870000000003	2844.4159999999997
PWY-5430	meta cleavage pathway of aromatic compounds	479.1656	383.0763	616.0692	486.121	753.2781	372.7453	358.7008	710.1139	295.9417	483.5763	520.9057	650.165	310.3763	385.635	488.5569	478.0418	619.737	508.3825
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	1397.0225	1479.9303	1704.2811	2491.1791	2034.3247	2328.3005	1213.4537	1628.0323	1905.7289	1593.3994	1582.5736	1778.3701	1781.5405	2375.317	1562.3757	1477.4117	1929.5285	1587.114
PWY-5484	glycolysis II (from fructose 6-phosphate)	16797.6766	18673.2436	20490.8876	20106.336	19103.7107	19267.5748	14217.208	17172.3687	19242.7959	14759.0558	16496.3308	17165.7566	21241.158	22316.5253	20168.4435	20679.7687	21259.2745	19802.734
PWY-5505	L-glutamate and L-glutamine biosynthesis	6409.3329	6389.2175	9192.7065	8139.8528	8592.6288	7391.455	6616.5786	9000.9805	11244.1169	7480.9706	7257.8353	8551.7373	9846.0054	10334.923	8773.0647	8605.0236	9486.0287	8145.6054
PWY-5507	adenosylcobalamin biosynthesis I (early cobalt insertion)	213.2185	537.8297	271.0839	238.0193	52.8349	355.1983	816.5047	384.9442	563.3799	172.5426	217.3751	336.7529	224.0788	123.5716	374.6379	350.9522	214.6695	269.54900000000004
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	8811.6184	8731.2232	11682.4382	11497.5777	11450.9121	11208.3389	6148.8819	7305.9611	9756.3981	7386.6578	7770.5328	8354.0498	9572.7226	10808.3628	8969.8025	9560.7524	10032.4792	9267.4059
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis	1848.9559	1652.7614	2281.7896	1781.7459	2273.7411	1964.9872	2869.0490000000004	2735.9508	2449.5695	1838.5522	3159.1602	2792.6162	4061.0839	4123.5645	3065.4143	2815.7997	4161.462	2567.4898
PWY-5531	chlorophyllide a biosynthesis II (anaerobic)	2600.8312	1240.9135	2094.0521	1899.2283	2892.2214	1819.7883	2970.6252	2731.3516	2469.1449	1785.6983	3067.4379	2946.2802	4154.5354	4524.8024	2868.5014	2599.5318	4393.7889	2691.3416
PWY-5647	2-nitrobenzoate degradation I	835.0433	1074.8989	1342.1984	825.8854	970.9035	692.9131	663.0616	920.6941	1046.861	972.9419	943.4538	833.3654	957.7793	860.4548	1126.4528	1135.5434	1185.2198	1176.1723
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	2525.0467	2608.8582	4886.6913	3109.6576	3768.7849	3200.0299	1807.4566	3838.3424	4466.7704	3100.4778	2826.8074	2513.9057	3599.7995	3827.9152	3217.3725	3116.7876	3434.6204	4030.7952
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	798.7154	1078.0439999999999	1208.6562	765.0854	876.8507	631.8748	647.5163	811.4939	924.7965	892.3898	906.0194	786.0055	868.0481	764.5737	1055.0016	1103.6425	1128.7118	1073.8742
PWY-5655	L-tryptophan degradation IX	1475.4278	1873.4666	2406.8328	1550.4019	1713.7443	1327.7557	1161.3518	1695.3817	1916.4195	1677.8399	1652.5881	1490.3425	1777.5802	1603.6353	1966.7365	1993.6734	2084.9405	2082.078
PWY-5656	mannosylglycerate biosynthesis I	154.7197	107.2149	130.5762	90.316	133.5215	141.0064	188.5212	68.8349	238.6393	103.3192	145.8771	151.7856	171.6129	149.5559	282.155	254.3263	123.4688	154.6037
PWY-5659	GDP-mannose biosynthesis	18084.7835	20413.6209	22735.1209	22455.4137	21432.3942	21452.6169	15308.6506	18973.4005	21500.1831	16379.4822	18018.674	18776.1802	22883.6096	24346.8202	21861.1609	22451.7322	23522.6477	21196.443
PWY-5667	CDP-diacylglycerol biosynthesis I	23336.2154	22712.0169	27072.2374	27349.821	28990.25	27119.2226	17928.9728	21250.7556	23789.3608	19302.1113	21297.8818	22348.3971	26087.0521	29240.9634	25451.5259	26077.3805	27244.6641	25239.8782
PWY-5676	acetyl-CoA fermentation to butanoate II	3132.8508	2938.7192	3686.2101	3429.5459	4405.2346	4084.2154	3305.1784	2898.3922	3076.2468	2877.1491	2675.5633	3514.8757	3154.345	3373.0566	3219.7377	2995.5889	3168.2576	3225.5146
PWY-5677	succinate fermentation to butanoate	84.6992	5.9726	260.6031	85.9449	144.0756	14.9038	108.7859	149.7371	90.9935	84.8183	192.7299	138.7445	32.3616	101.7195	195.0148	152.3058	207.0347	171.9124
PWY-5686	UMP biosynthesis	18310.2387	19421.8574	22386.1413	21748.5725	22090.6633	21500.6669	15242.2098	18739.1823	20638.403000000002	16039.2298	17781.6482	18799.1386	22139.2636	24049.1157	21558.3062	21831.8228	22714.6402	21191.4377
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	26710.1457	29593.201	32471.1034	32013.2447	30548.6598	31057.5262	20099.1852	25503.1706	30309.6017	23025.3379	24983.2474	25520.9606	32964.9365	35516.3169	30460.1507	32756.1948	33707.9303	30310.3652
