pathway	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
PWY-6185	4-methylcatechol degradation (ortho cleavage)	1287.3879	1357.5325	1537.0910000000001	1245.4063	1499.9889	1487.7241	1144.4418	1520.1288	1182.7131	1472.4554	1471.2554	1676.9067	1129.7935	1361.487	1457.7587	1313.5977	1439.0615	1465.2767
PWY-621	sucrose degradation III (sucrose invertase)	6825.7554	5409.4057	7811.209	8179.2965	9577.1073	9188.7324	4484.4234	4206.7029	6664.4594	4956.9674	5489.3069	6363.1832	7368.9903	8741.8013	6396.0375	6444.6386	7903.7085	5974.5788
PWY-6210	2-aminophenol degradation	650.2409	720.4034	753.4776	608.3501	642.1586	427.9059	362.6063	623.0034	492.8596	642.9324	622.0591	617.7976	667.9961	554.1648	775.1828	817.857	761.8306	719.4414
PWY-622	starch biosynthesis	23.9451	0.0	118.8164	0.0	0.0	0.0	0.0	106.5861	0.0	0.0	0.0	83.3345	0.0	0.0	47.7913	118.7185	0.0	0.0
PWY-6263	superpathway of menaquinol-8 biosynthesis II	2939.7373	3840.8844	3543.07	3843.3157	1507.0991	3018.2959	2776.4017	4193.9638	5956.9012	3508.0099	3213.3511	3648.3597	4316.6245	3681.4429999999998	4103.0363	5092.6825	3941.6927	3682.9942
PWY-6269	adenosylcobalamin salvage from cobinamide II	8815.6474	8700.8073	11700.6422	11501.921999999999	11479.9579	11219.4362	6130.3689	7283.6175	9751.7017	7388.8481	7754.0396	8335.4397	9549.3674	10799.8747	8949.455	9533.1972	10006.9331	9261.657
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	17703.8624	19357.5928	21565.3431	21283.2857	20826.5182	20696.0175	14876.4327	18414.931	19968.4561	15681.0991	17304.8873	18468.3825	21625.5373	23053.057	20975.0675	21474.7064	22000.4644	20624.1358
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	19512.9975	16373.8047	23420.6258	21759.2607	25024.2409	21767.2094	14399.0818	17110.051	20614.1346	17424.6136	17649.9354	17485.782	20714.6926	24479.912999999997	20868.1772	20446.7072	21958.3825	21151.0555
PWY-6317	galactose degradation I (Leloir pathway)	9812.8331	13212.5109	12831.8731	12823.3895	10023.8799	10886.2303	8477.2265	10226.6443	12894.04	9191.8063	9527.6276	10715.6414	13908.5099	13363.811000000002	12118.8634	13164.671	13199.6474	11539.533000000001
PWY-6338	superpathway of vanillin and vanillate degradation	1605.7631	1326.0169	1958.5993	1330.7286	1066.1247	1225.1592	884.6342	1487.155	2802.8876	1674.5806	1465.3331	1374.0647	1749.0633	1940.9831	1610.4955	2537.4654	1833.5044	1600.6528
PWY-6339	syringate degradation	4733.482	3872.4656	5184.0843	5095.3473	5185.3966	4711.9904	2488.6038	3393.1155	5255.2705	3769.2247	3976.3967	3421.9432	5106.6144	5852.1717	4387.3763	5270.3935	5414.351	4739.7265
PWY-6349	CDP-archaeol biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.2555	0.0	0.0	0.0	11.7181	0.0	0.0
PWY-6350	archaetidylinositol biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7618	0.0	0.0	0.0	7.4109	0.0	0.0
PWY-6353	purine nucleotides degradation II (aerobic)	16212.1945	18485.5322	20147.3912	20114.9234	19291.3231	18367.4331	12796.5738	17039.7907	18804.1386	14554.2802	15156.3926	15876.4649	20217.8697	21172.91	18453.6853	19544.9742	20233.0642	18731.6604
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis	5158.0136	8466.7233	6662.3842	6483.3435	3973.2093	5566.9574	4462.1989	6713.6023	7772.2095	5258.8208	5677.4682	5398.4867	8473.4699	7831.2189	7478.0469	8490.4816	7880.1743	7208.3386
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	15676.1998	16995.1741	19206.5945	18834.1332	18710.6317	18394.9347	13135.9946	16159.9708	17758.2756	13907.5902	15187.2277	16111.6725	19243.5247	20770.9659	18533.9167	18861.199	19565.7461	18208.7523
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	15755.3341	17027.8114	19287.0716	18963.0219	18783.7434	18437.3048	13173.2013	16220.5928	17840.0229	13961.8321	15214.4065	16145.8214	19291.6757	20829.0351	18541.4429	18929.49	19643.7366	18262.486
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	16219.541000000001	17579.4815	19794.8185	19309.8003	19204.3999	18951.6343	13633.0516	16699.5995	18352.2083	14303.5294	15772.9771	16704.7024	19809.5891	21348.6092	19208.1991	19527.7343	20200.2444	18907.8904
PWY-6396	superpathway of 2,3-butanediol biosynthesis	1100.4564	1067.4944	1027.4867	1377.5551	649.8587	991.7597	940.543	1233.1348	1121.8607	1255.2928	1106.04	1233.5144	1036.0792	1140.9466	1081.1059	1222.6849	1404.1669	932.4152
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	160.5048	187.7667	197.9953	112.8635	39.128	74.3264	145.705	164.1053	165.1933	130.4053	79.8157	185.7007	191.5366	48.478	209.2383	157.5366	99.0965	137.817
PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	530.9351	617.0786	625.0948	380.9267	123.5856	210.7113	448.7596	523.7789	542.1256	424.75	254.5169	568.2564	548.4865	0.0	706.8486	411.2169	316.7027	423.03
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	10578.87	8530.5	12651.81	11773.43	14522.32	12340.89	7181.07	8825.3	10525.89	8557.48	9036.4	9318.67	10733.08	13218.37	11089.25	10670.88	11197.51	11395.41
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	826.6135	1481.3944	806.5228	977.8057	492.2648	1494.2639	863.9451	856.5522	777.7803	646.9336	1322.4543	1077.3605	1112.8107	817.4903	1349.8343	986.7864	411.4983	1213.5326
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	921.9379	1637.703	890.1166	1127.3347	534.5872	1886.7852	1007.5949	955.4433	856.1019	708.0184	1556.4279	1221.682	1210.5912	903.1861	1507.0746	1082.9141	431.0745	1376.2161
PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	674.9401	903.8253	644.2568	1154.4615	1087.1671	686.5181	930.55	986.9899	1030.6246	827.4599	776.3554	1023.3379	1590.7032	1189.6175	1152.4217	949.4336	962.2635	845.23
PWY-6505	L-tryptophan degradation XII (Geobacillus)	1324.4744	1506.1563	1708.0822	1340.9327	1338.8703	978.5939	807.143	1377.6523	1195.6148	1357.8695	1303.9229	1289.8442	1486.4252	1261.9317	1635.3146	1715.7206	1645.7907	1579.4342
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	4032.3335	3708.0925	6097.7224	6419.6189	6515.3578	5456.023	2752.7589	3398.2413	4503.9285	3767.3457	3969.5427	3752.8471	3771.1346	5232.4319	3922.1892	4244.3781	4802.1548	4116.5363
PWY-6519	8-amino-7-oxononanoate biosynthesis I	15961.7671	12964.2205	18139.2491	17884.1095	20742.4918	18227.2616	10728.7058	12040.7867	15389.1624	12950.0632	13414.5679	13431.822	16323.47	19441.1547	15989.3253	15970.3125	17332.5624	16400.7048
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	8058.2255	11588.4069	10464.9796	10097.3235	6962.5164	8660.7742	8549.7613	10188.6607	11673.7421	7815.34	9516.876	9996.1727	13402.7603	13316.6999	12099.8923	12990.0735	13144.6472	10998.7852
PWY-6562	norspermidine biosynthesis	372.6403	325.857	751.8157	438.4373	880.5269999999999	604.3448	360.916	507.1857	296.6939	541.7158	485.5396	413.3991	264.0116	280.1307	282.9608	445.5117	542.0426	491.27099999999996
PWY-6588	pyruvate fermentation to acetone	1505.6604	2291.6755	1230.7834	2385.2863	1173.6958	1714.2479999999998	1875.2683	2017.7156	1623.2065	1337.0717	1624.5516	2165.3066	1705.3844	1334.4094	2049.5385	2025.5204	1849.1169	1965.1904
PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation	592.529	808.1934	358.1024	466.6593	262.7691	454.8136	1350.7907	628.557	919.0519	737.9014	472.3421	1848.1112	264.6843	126.5119	353.277	204.2394	271.0184	479.6427
PWY-6608	guanosine nucleotides degradation III	14725.9585	16848.2876	18643.9728	18524.1065	18636.5756	16591.7286	11686.7408	15739.2012	16995.9197	13326.042	13698.002	14434.2709	18173.7797	18982.1424	16685.5925	17534.5589	18171.7222	17124.881
PWY-6609	adenine and adenosine salvage III	10655.6881	13016.9683	13391.3889	13467.4014	12269.0383	12063.8835	8928.9479	12243.7562	12989.083999999999	9958.619	10264.4994	10970.0553	13912.7614	14202.9358	12726.7771	13403.4863	13620.8643	12795.368
PWY-6612	superpathway of tetrahydrofolate biosynthesis	14576.1897	15262.1847	17931.8779	17305.5762	17736.952	17270.2814	11693.6713	14392.1579	15718.1598	12751.9477	13819.9758	14708.4379	16821.5796	18531.1158	16679.1001	16871.1811	17594.2819	16607.4621
PWY-6628	superpathway of L-phenylalanine biosynthesis	15960.8545	16000.0625	19017.8927	18779.0281	19451.8112	18492.4248	12015.7655	14629.8771	16806.4118	13678.1909	14623.1094	15429.726	18516.032	20470.0046	17670.4	18278.5361	19289.0207	17546.1944
PWY-6629	superpathway of L-tryptophan biosynthesis	0.0	0.0	7.1977	0.0	5.9984	3.5994	4.7985	9.5952	0.0	0.0	14.3887	0.0	0.0	14.3915	0.0	4.7989999999999995	0.0	0.0
PWY-6630	superpathway of L-tyrosine biosynthesis	15862.903999999999	15885.378999999999	18810.8715	18629.9213	19261.8067	18343.5391	11834.9348	14412.1719	16578.3657	13449.6775	14400.3191	15174.6429	18292.915	20214.3349	17467.2085	18073.4064	18918.1937	17366.6212
PWY-6641	superpathway of sulfolactate degradation	144.407	144.9431	102.8423	0.0	43.2396	179.3275	170.575	213.8773	180.7361	142.6525	154.1669	305.7873	113.5279	97.1337	162.1523	117.4777	210.3104	54.3413
PWY-6654	phosphopantothenate biosynthesis III	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9981	0.0	0.0	0.0	5.9991	0.0	0.0
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	183.6844	229.2243	286.486	115.3713	53.2929	193.9552	104.3475	251.3046	135.8961	107.9472	117.304	201.9172	266.1427	6.3777	283.1289	285.9273	232.5654	259.3579
PWY-6700	queuosine biosynthesis	12056.9755	10172.8603	14288.0076	13705.2294	15808.4451	14482.8932	9804.3912	11035.4071	12493.8338	10350.789	11047.4431	11975.2949	12682.3485	15014.9373	13037.7735	12707.528	13572.816	12867.1589
PWY-6703	preQ0 biosynthesis	11539.8319	10343.325	13646.68	13512.4691	15326.5033	14225.7531	9727.2367	10666.5922	12070.0093	9974.9769	10968.5738	12072.5618	12784.5492	14786.0412	12934.6519	12512.0677	13548.892	12625.8694
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	15973.5268	14200.2667	18059.5983	18377.0046	20890.509	18688.7414	11009.8178	12819.8666	15605.6606	12432.3944	13880.5187	14168.3258	16689.3427	19311.9156	16377.8129	16856.1558	17899.6206	16404.9359
PWY-6713	L-rhamnose degradation II	0.0	0.0	1.4933	0.0	1.2455	0.7479	0.9915	1.9599	0.0	0.0	2.9437	0.0	0.0	2.9662	0.0	0.9949	0.0	0.0
PWY-6728	methylaspartate cycle	2665.9990000000003	4304.7939	3696.3740000000003	3042.7439	2422.0787	3434.9803	1915.2607	2491.3478	1725.2971	2285.2486	2723.9963	2273.4138	3161.8349	3160.2249	3541.8256	3747.6497	3974.1503	2743.3666
PWY-6731	starch degradation III	347.1545	303.3436	340.4201	410.3313	385.6569	768.3413	225.2692	321.2976	406.1409	245.5909	547.342	492.6834	234.4397	376.3339	234.4215	637.7121	233.0308	211.8255
PWY-6737	starch degradation V	11474.0645	12759.8955	12792.4136	13084.5891	12611.1327	12627.101	10036.4363	11008.3189	12689.4888	10097.7677	11038.7233	11732.9591	14518.5983	15306.5715	13430.8376	14169.6543	14260.8653	12806.9758
PWY-6749	CMP-legionaminate biosynthesis I	807.3881	623.9602	556.5673	675.265	725.2126	755.3387	565.5893	534.504	816.2435	884.0756	780.7646	775.8858	601.3442	854.8658	987.5636	1376.1991	806.1195	778.5751
PWY-6876	isopropanol biosynthesis	1505.6604	2291.6755	1230.7834	2385.2863	1173.6958	1714.2479999999998	1875.2683	2017.7156	1623.2065	1337.0717	1624.5516	2165.3066	1705.3844	1334.4094	2049.5385	2025.5204	1849.1169	1965.1904
PWY-6891	thiazole biosynthesis II (Bacillus)	433.8657	409.1428	430.3086	1406.1656	177.2481	382.9414	1309.1861	952.8805	778.8718	872.8106	361.759	1513.4058	205.0298	64.672	202.5896	159.0111	167.1068	296.8715
PWY-6892	thiazole biosynthesis I (E. coli)	760.4161	1357.71	2811.591	1067.8156	623.1641	848.9239	1073.0698	1866.6753	2910.0404	1973.1703	1089.6645	1148.6901	1457.8547	1620.9505	1355.3905	1288.2813	1384.297	1828.7078
PWY-6895	superpathway of thiamin diphosphate biosynthesis II	1944.6321	1861.3329999999999	1973.0343	5343.8418	852.4674	1764.2227	4599.5919	3815.2237	3302.5258	3450.0732	1645.5120000000002	5411.5424	981.3118	319.1692	968.888	768.1581	806.5823	1389.9746
PWY-6897	thiamin salvage II	15677.1112	17030.5999	19603.0831	18434.2647	18768.4737	18667.5226	12687.1575	15723.5652	17920.4998	13623.3451	15026.5086	15661.456	19110.3747	20588.3551	18431.6553	18745.4456	19356.6711	18129.7226
PWY-6901	superpathway of glucose and xylose degradation	7524.4638	8392.3796	8741.5525	10039.8297	8823.8222	8829.6729	7871.5924	8520.1508	8759.9282	7547.9697	7736.0526	9530.8099	9014.9787	9364.2637	9246.7278	9471.5764	9293.0982	8745.1505
PWY-6906	chitin derivatives degradation	29.8065	0.0	0.0	0.0	0.0	0.0	63.021	0.0	0.0	34.6095	0.0	49.2685	133.1303	0.0	61.1607	0.0	24.8664	29.7481
PWY-6919	neopentalenoketolactone and pentalenate biosynthesis	0.0	0.0	58.4571	0.0	0.0	0.0	0.0	0.0	0.0	64.7414	0.0	0.0	0.0	0.0	69.0667	41.25899999999999	23.5956	0.0
PWY-6942	dTDP-D-desosamine biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.3896	37.3469	0.0	0.0	81.9299	38.2565	0.0	0.0	0.0	0.0	0.0
PWY-6944	androstenedione degradation	341.0765	158.8377	282.4719	315.2285	698.5142	346.5231	181.958	429.7735	86.331	339.569	381.6492	287.7209	231.7127	28.2113	457.8928	266.0977	303.6738	347.1062
PWY-6948	sitosterol degradation to androstenedione	101.3909	110.9296	96.8143	72.5668	18.8228	25.2334	65.9091	89.5847	98.5734	72.0436	41.8827	81.9909	66.569	0.0	148.2864	41.946000000000005	52.1058	61.7393
PWY-6957	mandelate degradation to acetyl-CoA	359.1834	342.2676	511.0801	582.7341	581.513	454.0749	294.6533	543.5939	316.0892	428.1763	442.5041	574.905	299.3188	360.3898	319.3273	457.2348	595.4185	419.9474
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	22976.6707	25298.1413	27941.6685	27108.457000000002	26297.6937	26619.1711	18470.6499	23012.0884	26113.4845	19935.2181	21776.3113	22841.6012	27988.9184	29709.6853	26765.6095	27956.4457	28308.7658	26375.0451
PWY-6992	1,5-anhydrofructose degradation	1427.4582	1296.2466	2393.8642	2239.268	2495.0955	2070.4206	817.5214	1214.9177	1242.3653	1223.6388	1644.1457	1355.3310000000001	1150.8538	1957.9013	1103.5042	1688.2468	2088.9425	1471.7899
PWY-7003	glycerol degradation to butanol	705.1228	1051.1753	1148.2365	1123.2532	516.4337	865.8307	2370.6319	1594.1291	1708.5174	1769.7499	1189.6882	2879.0	606.9864	246.7674	798.8262	467.6135	716.2652	857.0257
PWY-7007	methyl ketone biosynthesis	5325.5676	9313.7103	6686.2577	6480.3434	4450.6479	5955.2239	4311.0737	6457.3361	6326.3595	4687.7209	5569.9448	5537.85	8588.5737	8043.5958	7375.7517	8033.683000000001	8293.9111	6971.5256
PWY-7013	L-1,2-propanediol degradation	219.3868	0.0	0.0	0.0	0.0	47.9753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7046	4-coumarate degradation (anaerobic)	150.0297	293.0068	201.7463	221.4071	130.2854	246.4692	137.1141	189.5814	150.9486	144.6957	240.3267	192.8663	184.2558	174.351	257.5266	188.227	141.9481	218.6254
PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	2650.3911	2053.7532	2573.8932	2972.7988	3406.2827	2837.1919	1861.1728	1820.7944	2098.1403	2116.9737	2057.5562	1728.2583	2716.5621	2756.3405	2506.769	2351.8992	2646.0637	2569.8975
PWY-7094	fatty acid salvage	29951.9736	32389.0391	35225.1308	34488.1765	34295.1775	35454.5741	20836.265	27815.2458	33194.8322	25429.9977	26781.5654	26705.3122	35291.1231	37717.4219	33276.6269	36230.5276	35729.4835	32992.643
PWY-7097	vanillin and vanillate degradation I	1605.7631	1326.0169	1958.5993	1330.7286	1066.1247	1225.1592	884.6342	1487.155	2802.8876	1674.5806	1465.3331	1374.0647	1749.0633	1940.9831	1610.4955	2537.4654	1833.5044	1600.6528
PWY-7098	vanillin and vanillate degradation II	1758.9466	1452.4489999999998	2132.2116	1464.0095	1182.0566	1353.5566	969.5497	1623.2291	2998.578	1818.7165	1603.1106	1506.8120000000001	1907.4911	2122.2154	1759.7582	2747.9388	2010.4513	1752.1067
PWY-7111	pyruvate fermentation to isobutanol (engineered)	37779.7851	38996.3243	44780.6445	44185.0053	44918.2211	43227.1321	28027.7814	33002.3646	37608.6388	30462.9016	34569.8685	34969.6227	41697.3406	46052.7401	39907.5717	42935.7047	45233.8397	39528.2533
PWY-7159	chlorophyllide a biosynthesis III (aerobic, light independent)	2600.8312	1240.9135	2094.0521	1899.2283	2892.2214	1819.7883	2970.6252	2731.3516	2469.1449	1785.6983	3067.4379	2946.2802	4154.5354	4524.8024	2868.5014	2599.5318	4393.7889	2691.3416
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	16876.8401	17836.7234	20536.6372	19890.7874	20603.987	20030.5811	13215.1431	16487.8002	17990.588	14597.5555	15837.9986	16580.324	19517.6588	21491.3345	19230.1787	19531.868000000002	20518.2259	19068.3987
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	4582.6216	5867.9023	5504.3015	8720.6438	6439.2968	8268.5177	3394.2222	5267.7843	6643.0462	4844.9165	4897.4776	4878.9056	7078.266	8047.2157	5403.7289	5067.420999999999	6844.2369	5954.0869
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	11200.6046	12802.8481	14309.6966	13654.1118	12701.5297	13599.0711	9806.4773	12207.0916	14449.395	10667.0552	11010.0352	12310.4213	14768.6125	15301.723999999998	13518.3049	13750.1783	14510.1114	13145.7005
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	15615.3609	17025.7643	18973.6497	18469.9673	18448.4927	18289.4144	12989.6838	15895.8535	17247.0775	13506.0389	15159.111	16020.7794	19073.2	20308.4456	18461.9448	18850.2522	19481.4889	18126.342
PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	0.0	0.0	34.9574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7199	pyrimidine deoxyribonucleosides salvage	10841.9911	12292.9697	13830.7211	13506.2028	13139.6714	12971.8974	7757.7994	10676.9811	12404.7459	9561.7471	9725.0642	10098.1128	13093.3999	14286.5361	11788.4055	12797.8185	13200.9501	12104.1404
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	12050.1323	13792.0259	15240.9616	14833.7675	14282.339	14398.9246	9446.855	12471.9526	14008.8677	10783.2395	11460.9345	12067.094	14985.9098	16071.469	13902.6851	14715.7893	15158.0603	13954.2973
PWY-7208	superpathway of pyrimidine nucleobases salvage	19211.8564	20939.5456	23769.1378	23033.5957	22970.4284	22541.9452	16191.7009	20294.277	22283.9739	17231.8214	18781.2519	19967.3914	23982.3717	25771.8504	23068.1241	23411.2433	24289.1643	22630.5068
PWY-7209	superpathway of pyrimidine ribonucleosides degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.9863	0.0
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	0.0	0.0	49.9099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.9718	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	17332.049	18395.9004	21221.9674	20566.7558	21068.3239	20463.1351	13922.6011	17351.0614	19001.6135	15095.4767	16547.6166	17329.9774	20556.3517	22474.5228	20072.3214	20411.7951	21340.9933	19831.9718
PWY-7219	adenosine ribonucleotides de novo biosynthesis	18958.0964	20541.4885	23016.7416	22303.0862	22570.5171	22144.7552	15799.4153	19516.2225	21250.2263	16563.1499	18439.5721	19524.3614	23140.9306	24754.3008	22458.8899	22602.2987	23382.5749	21905.147999999997
PWY-722	nicotinate degradation I	412.8543	380.1971	721.3622	766.5803	921.3115	737.6311	174.8777	220.0266	312.6225	249.7916	430.3192	332.6057	334.2583	570.8458	276.8956	344.7188	551.8924	368.4467
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	18984.2278	20299.7405	23066.8141	22526.1881	22772.743	22326.3205	15665.5051	19425.4948	21421.2865	16674.8205	18301.8781	19382.3324	23220.6419	25071.7828	22342.7039	22950.2347	23736.4792	21915.9104
PWY-7221	guanosine ribonucleotides de novo biosynthesis	17898.9423	19824.6925	22142.5426	21370.3445	20945.9965	20962.0853	14829.795	18448.4603	20259.1698	15706.5397	17471.8936	18217.9547	21906.0536	23465.9682	21301.0191	21858.3426	22349.1517	20940.2288
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	18984.2278	20299.7405	23066.8141	22526.1881	22772.743	22326.3205	15665.5051	19425.4948	21421.2865	16674.8205	18301.8781	19382.3324	23220.6419	25071.7828	22342.7039	22950.2347	23736.4792	21915.9104
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	18967.374	20746.5816	23296.867000000002	22622.174	22370.3967	22246.5436	15665.5875	19476.2672	21454.9575	16654.3193	18429.5246	19298.5685	23223.3254	24941.3904	22472.5281	23108.8079	23707.6237	22067.2994
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	19665.2869	21207.4075	23892.0014	23229.1581	23514.9906	23041.0924	16268.3997	20067.4786	22064.7262	17213.9222	18998.0631	20128.3669	23972.2621	25801.4489	23197.3223	23526.2456	24340.7883	22663.9594
PWY-7234	inosine-5'-phosphate biosynthesis III	15169.7174	16136.8882	18629.8466	18010.4287	18265.0159	17616.9732	12467.6718	15457.641000000001	17036.7067	13209.2805	14662.7348	15417.4645	18358.2847	19902.3283	17778.1874	18140.9359	18803.932	17498.5914
PWY-7237	myo-, chiro- and scillo-inositol degradation	6191.0	7772.25	7602.0	8975.66	7405.5	7356.5	4313.58	6778.25	8512.0	6160.66	6261.75	6680.75	7808.25	8854.25	6683.0	9481.5	9203.35	6706.5
PWY-7242	D-fructuronate degradation	7827.4208	8037.4134	10617.694	10537.2402	10038.2498	9196.8977	5084.2732	6648.0943	8300.3467	6636.5151	6829.3566	6670.5966	7363.254	8414.6033	7339.4974	7959.8077	8457.8913	7623.6759999999995
PWY-7254	TCA cycle VII (acetate-producers)	3459.2121	4158.1809	6701.2542	5013.0425	4877.5302	3996.2329999999997	4137.8659	7587.0267	7204.7653	6609.9145	4033.4464	6696.1207	5299.5581	5188.8197	5218.2703	4322.6634	5010.2187	5379.8127
PWY-7255	ergothioneine biosynthesis I (bacteria)	4775.9127	7511.3491	6311.5157	6087.5317	3923.7659	5177.0633	4064.6197	5778.785	6641.262	4517.1587	5070.6338	4791.6982	7707.7748	7501.9149	6666.4385	7854.8845	7376.5716	6425.0747
PWY-7295	L-arabinose degradation IV	3153.7384	2294.0648	3678.7041	3917.4823	4414.8349	4096.5087	1388.2934	1448.1197	2706.9954	2118.1885	1967.0586	1858.4045	2971.8494	3612.3049	2365.4424	2438.9768	2978.1946	2591.5734
PWY-7315	dTDP-N-acetylthomosamine biosynthesis	893.1538	532.5063	829.2575	591.3483	1027.0385	784.3316	2260.7062	1412.3646	1768.6571	1220.796	1629.6201	2181.1234	2275.3855	2263.2463	2103.1962	1597.6386	2467.3482	1220.1492
PWY-7316	dTDP-N-acetylviosamine biosynthesis	101.6857	55.9184	0.0	45.9485	0.0	77.8427	81.7535	79.8298	224.7373	171.0361	105.6601	117.5859	125.6442	89.8271	165.3302	137.5482	107.7354	149.4472
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	13050.7511	13372.8252	15275.2814	14827.0543	15278.0956	15159.2243	11225.933	13072.5246	14238.7567	11429.9564	13116.168	14002.1426	15421.9372	16813.6218	15901.4612	15523.2213	15939.4486	14956.0367
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	9722.5559	10305.7897	11758.6735	11641.1587	11813.2538	11694.4928	7901.4137	9022.6603	9410.2094	8053.2945	9254.9737	9591.2467	11066.0378	11991.0826	11195.5569	11602.0278	11578.5179	10792.1514
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	955.4038	1178.4257	1761.6262	1153.8635	1140.742	1715.1228	1342.5534	1958.0211	1422.1778	676.1749	1289.2542	1736.8607	1191.0856	1364.8679	1280.9664	1515.6831	1903.5888	1235.961
PWY-7347	sucrose biosynthesis III	56.8833	91.1503	53.1597	25.4803	121.0875	134.4904	76.9532	279.5057	137.3331	24.7217	100.8209	203.9688	119.5334	109.1654	181.0693	152.1788	83.0367	65.8355
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	1166.2334	1558.566	1398.739	1534.2909	527.4675	1182.9660000000001	1086.9366	1753.3662	2748.0687	1467.0986	1299.1494	1468.4844	1735.1119	1426.2464	1682.4475	2169.6255	1567.3082	1460.6773
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II	0.0	0.0	0.0	39.2329	37.8474	0.0	110.8236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I	1301.9343	1782.1846	1564.9847	1718.3141	615.8403	1334.6235	1200.0121	1940.3219	2935.5332	1590.1963	1452.6315	1606.0374	1971.9173	1640.2006	1871.3405	2417.1927	1774.8953	1650.7403
PWY-7376	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	6439.3636	8504.642	8943.9361	8277.3512	7288.0889	7906.414000000001	5538.6325	7015.9034	7510.4775	5771.9009	6843.513000000001	6869.5582	8444.5582	8779.8617	7988.2549	8702.3916	9039.7449	7692.8731
PWY-7377	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)	268.0278	1095.9425	1095.4693	257.1723	766.1571	853.2491	2150.4984	2406.7258	2503.4721	1353.5136	2899.1301	2990.4333	2665.1926	3477.9276	2565.1787	2476.6512	3807.0865	1695.3089
PWY-7391	isoprene biosynthesis II (engineered)	796.4772	778.679	977.5501	728.2453	340.1114	554.7167	459.4228	986.928	2093.3279	1114.8237	762.7444	771.0944	1087.4145	1238.836	975.4624	1727.4439	842.8038	814.6892
