Pathway	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Selenocompound metabolism [PATH:ko00450]	177864.28	197176.27999999997	222379.59000000003	216551.38	211088.22000000003	209681.17999999996	142131.47999999995	177247.76	201510.21000000002	156150.92999999996	169687.32	177122.83	215792.15	231461.42000000013	206489.21	216781.87	220976.20999999996	203617.44999999998
Serotonergic synapse [PATH:ko04726]	7385.5	9024.33	8955.02	9047.970000000001	7404.18	7541.969999999998	5164.87	7025.6	7677.71	6279.33	6772.15	7120.77	8442.08	7630.0	7488.92	9007.470000000001	9177.43	7879.13
Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909]	4332.17	6033.49	6447.33	4972.66	3553.0	4767.66	5627.16	6185.99	9426.73	5473.17	5899.51	6920.639999999999	8151.49	7601.17	7073.84	9614.38	8918.87	5810.71
Shigellosis [PATH:ko05131]	44936.96	35336.0	51541.270000000004	52268.17	62550.259999999995	54909.92	27352.58	32070.6	37438.84000000001	31726.52	36163.45	35741.61	41091.64	51837.15	40027.57	41212.87	46410.490000000005	41801.47
Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	15.0	18.0	36.0	0.0	7.0	9.0	0.0	28.0	0.0	14.0	9.0	17.0	34.0	0.0	24.0	24.0	7.0	24.0
Signaling proteins	97425.77999999998	90735.79000000001	107089.73000000003	113745.42000000003	119750.90999999997	116474.39	70516.54	84230.26000000002	104593.08000000002	83455.44	84656.14	93717.38	111213.35000000003	125416.89999999998	101590.65000000001	108371.19999999998	113410.41	100904.97
Small cell lung cancer [PATH:ko05222]	24475.37	19456.5	28188.12	27439.19	33211.07	29436.85	14763.67	17836.5	19785.620000000006	16839.73	19621.1	18967.67	22090.15	27368.51	22208.99	23153.74	24322.750000000004	22755.160000000003
Sphingolipid metabolism [PATH:ko00600]	33103.100000000006	44394.74	45669.58	42256.93	35032.75	36817.22	23360.81	30053.28	44950.96000000001	34207.399999999994	30697.94	30456.04	40267.16	40725.350000000006	37789.61	43458.8	45949.270000000004	33336.79
Sphingolipid signaling pathway [PATH:ko04071]	931.5	1666.5	1097.0	1105.5	960.5	902.0	649.0	789.0	806.7	1093.0	988.0	891.5	1371.5	1130.5	1398.0	1386.0	1687.0	970.27
Spinocerebellar ataxia [PATH:ko05017]	25367.37	19717.5	28544.12	27986.19	34045.07	29748.85	15030.67	18189.5	20065.620000000006	17159.73	20034.1	19218.67	22869.15	28338.51	22607.99	23592.74	25035.750000000004	23406.160000000003
Spliceosome [BR:ko03041]	50.0	45.0	0.0	0.0	10.5	58.0	71.5	64.0	42.0	34.0	56.0	73.5	24.0	13.0	25.0	14.0	77.0	19.0
Spliceosome [PATH:ko03040]	0.0	2.0	0.0	0.0	10.5	0.0	3.5	0.0	0.0	0.0	0.0	8.5	5.0	0.0	3.0	0.0	0.0	0.0
Staphylococcus aureus infection [PATH:ko05150]	2401.87	2047.66	2535.6800000000007	2412.1	2907.12	3123.12	2286.2100000000005	2019.13	2241.51	2525.38	2195.95	3075.97	1845.42	2354.17	2042.75	2429.2500000000005	2411.84	2144.22
Starch and sucrose metabolism [PATH:ko00500]	346767.33	418340.14999999997	421328.8599999999	420188.82999999996	373491.97	393167.1899999998	285282.74	347623.5199999999	424498.6000000001	323344.25999999995	331700.6300000002	351710.9199999999	439044.99	450827.3600000001	403141.65	442824.14999999997	438779.9100000001	389348.03000000014
Staurosporine biosynthesis [PATH:ko00404]	14512.75	10955.0	18375.32	19107.75	20998.5	17477.6	5396.5	5478.0	11298.1	8908.4	8748.25	7561.0	12049.65	14847.5	9069.0	10943.0	13000.52	10777.6
Steroid biosynthesis [PATH:ko00100]	381.16999999999996	308.33000000000004	550.8299999999999	359.33	496.67	552.0	1271.0	817.33	1137.04	744.67	1109.67	1506.66	1375.33	1478.67	1333.83	995.98	1564.16	781.44
Steroid degradation [PATH:ko00984]	14873.0	27878.33	22605.67	19596.999999999996	14286.82	18105.83	11518.17	17858.0	19355.170000000006	14333.67	15824.300000000003	15272.17	22802.67	18471.5	20730.67	25581.119999999995	26715.02	18390.839999999997
Steroid hormone biosynthesis [PATH:ko00140]	3079.67	4876.0	4234.83	3634.2	2604.17	3356.67	2222.17	3697.5	5671.24	3624.67	3334.2	3248.67	4720.5	4280.17	4255.83	6210.7	5186.33	3431.54
Stilbenoid	908.17	1614.83	1311.0	1054.0	909.67	905.17	1000.5	1232.33	1248.84	903.67	1174.5	1146.9999999999998	1442.0	1388.17	1484.83	1503.98	1213.49	1339.6699999999996
Streptomycin biosynthesis [PATH:ko00521]	148983.29	171299.44	182346.98	182746.14	173665.8	173238.83999999997	120505.06	152823.58000000002	172521.19	132130.09999999998	145331.52	150610.34	188221.2	197987.66	175413.48000000004	187401.05999999997	192194.15999999997	170749.93000000002
Structural proteins	159613.28	131637.41000000003	190413.33999999994	184506.35	216078.41999999998	192104.48	107228.58	127855.18000000004	149461.58000000002	127371.49999999999	137693.66999999995	137341.37	156910.22999999998	190312.41000000003	156852.47	160782.02000000002	172905.98000000004	162915.67
Styrene degradation [PATH:ko00643]	88281.51999999999	93932.24	111569.8	109087.77	109704.34999999998	103505.87	61717.42	81573.58	89842.12999999999	72276.79000000001	81570.21999999999	78560.9	100033.3	109688.99	95061.05	101990.35999999999	109127.54000000001	97601.61000000002
Sulfur metabolism [PATH:ko00920]	350586.99000000005	356431.69999999984	419597.6499999999	418911.4600000001	431354.1	413897.32999999984	258207.56000000006	316185.8399999999	362833.94000000006	290601.12	319529.34000000026	329287.53999999986	395868.3499999999	437261.6100000001	375259.59	398705.1600000001	417670.95999999996	370738.48000000004
Sulfur relay system [PATH:ko04122]	147545.52	160289.83000000002	176448.68000000002	174060.90999999997	169847.30000000008	174117.59	128602.43000000002	150313.72	166899.39000000004	131456.53999999998	145732.36000000002	159058.96	178192.06999999998	189759.69000000003	174010.69000000003	177727.38999999998	183151.39	166993.39000000004
Synthesis and degradation of ketone bodies [PATH:ko00072]	132544.89	140972.47	159224.44999999998	154832.60999999993	159539.03999999998	153781.81	93955.33000000002	122222.20000000001	141381.47	110479.48000000001	119919.75	116789.22	154389.05000000002	168202.09	145325.31	157945.90999999997	158560.21000000002	146917.97999999998
Systemic lupus erythematosus [PATH:ko05322]	834.0	871.66	1230.0	1252.67	1539.5	1353.83	706.3299999999997	584.8299999999998	907.67	688.17	889.5	798.5	904.67	1195.5	942.67	715.0	1113.5	944.0
T cell receptor signaling pathway [PATH:ko04660]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
TNF signaling pathway [PATH:ko04668]	50.0	43.0	14.0	0.0	11.0	84.0	68.0	80.0	55.0	46.0	56.0	95.0	19.0	44.0	22.0	14.0	83.0	19.0
Taurine and hypotaurine metabolism [PATH:ko00430]	80871.65	87981.72000000002	96335.16	95248.08000000002	89977.48000000001	94578.73	62886.679999999986	75878.37	91047.34999999998	69113.20999999999	75737.6	80712.37	92478.8	99144.64	89468.59000000001	97594.23	99123.35999999999	86341.67000000001
Terpenoid backbone biosynthesis [PATH:ko00900]	257953.79999999993	286803.24999999994	308936.97000000003	306497.93000000005	302445.13999999996	294251.24	201459.1	255865.55999999997	293482.12	223591.76000000013	244901.36000000002	249575.9	318991.7	339281.17	299046.31	321506.94000000006	322084.42	293411.68
Tetracycline biosynthesis [PATH:ko00253]	1864.0	2979.5	2759.0	2800.0	2220.0	2499.0	1742.0	2616.0	2448.0	1550.0	1580.0	2512.5	4050.5	2033.0	2051.0	4482.5	3299.53	3467.0
Th17 cell differentiation [PATH:ko04659]	13765.95	15218.41	15869.4	16588.85	16204.98	16038.02	11135.19	13958.38	16646.14	12719.54	13175.07	13960.41	17994.739999999998	18793.79	16478.25	16965.469999999998	17551.85	15808.320000000005
Thermogenesis [PATH:ko04714]	111222.26999999999	113056.39	129557.98999999999	129326.10999999996	133902.24	130216.44000000002	79665.95	98631.10999999999	114412.43	88726.72	100010.84	98484.77000000002	125480.45999999999	138493.33	120323.06	129150.71999999999	131254.05999999997	121313.50000000001
Thiamine metabolism [PATH:ko00730]	160554.83	178150.24	199602.25999999998	198587.39999999994	190565.69000000003	191800.47999999998	135515.61999999997	165442.5	188700.65000000005	144532.08999999997	155832.7	169328.74000000002	198772.39	211804.99000000002	187966.09	193055.88	202190.36	183818.71000000005
Thyroid hormone signaling pathway [PATH:ko04919]	19414.75	22854.82	22877.44	22256.54	19176.760000000002	22767.91	15781.710000000001	19530.53	26206.84	18506.39	18323.620000000003	19936.600000000002	25554.730000000003	26347.879999999997	23353.67	26437.58	26143.18	22159.56
Thyroid hormone synthesis [PATH:ko04918]	26319.660000000003	24734.660000000003	29304.920000000002	30603.0	33272.61	31160.45	19716.629999999997	23644.58	25619.060000000005	21972.719999999998	24180.620000000003	25062.47	28094.660000000003	32770.66	28221.33	29132.029999999995	29991.27	27815.010000000002
Tight junction [PATH:ko04530]	91.0	44.0	55.0	43.0	75.0	134.0	36.0	86.0	27.0	26.0	34.0	134.0	101.0	57.0	40.0	156.0	167.0	117.0
Toll and Imd signaling pathway [PATH:ko04624]	28.0	8.0	13.0	0.0	17.0	0.0	0.0	0.0	23.0	23.0	24.0	29.0	0.0	0.0	0.0	0.0	0.0	6.0
Toluene degradation [PATH:ko00623]	34912.490000000005	34757.97	40253.869999999995	40894.92	41483.87	39425.35	22906.559999999998	29259.67	39503.46	30235.880000000005	31977.56	31136.49	38435.90000000001	42630.329999999994	35282.76	43063.17	44038.21000000001	35652.48000000001
Toxoplasmosis [PATH:ko05145]	24459.37	19413.5	28174.12	27470.19	33200.07	29352.85	14742.67	17756.5	19788.620000000006	16793.73	19589.1	18927.67	22071.15	27324.51	22186.99	23139.74	24239.750000000004	22736.160000000003
Transcription	74145.15	81504.74	91744.70999999999	88679.18000000001	87774.26	85797.39000000001	57541.240000000005	70925.48000000001	81225.63	64215.83000000001	68573.06999999999	72928.43	84640.49	92495.8	80637.33	89209.58	87923.58	80978.14000000001
Transcription factors [BR:ko03000]	819139.8900000001	859114.9499999997	988823.1399999995	1026780.7800000013	1016485.780000001	982570.250000001	592477.4100000005	743686.1500000005	884180.0000000009	706250.2399999999	741585.8099999991	779874.8500000003	932371.94	1028916.2599999987	860313.79	937016.3100000005	1002530.8599999999	869544.7499999998
Transcription machinery [BR:ko03021]	447476.5300000001	472272.67	528856.84	527825.41	524090.3500000002	524322.19	356058.55000000005	437328.91999999987	506574.63999999996	392340.57	416833.70000000024	445542.23000000004	538969.84	574811.65	507982.4600000001	532838.3999999998	539692.7499999999	499540.50999999995
Transfer RNA biogenesis [BR:ko03016]	972292.5999999992	989685.75	1171849.6700000004	1143449.0899999999	1195593.29	1149696.2700000005	793102.3999999999	953913.850000001	1066971.2	846990.3700000005	923506.4399999997	982933.3900000007	1138300.8599999994	1251613.86	1110151.1799999997	1122910.12	1177468.5999999999	1092815.9600000007
Translation	15583.17	12822.0	19017.19	17965.96	21192.27	18110.08	10739.54	12964.0	14620.96	12469.05	13283.550000000001	14000.77	13817.16	17013.87	14879.0	15106.98	15700.33	15350.130000000001
Translation factors [BR:ko03012]	279184.0400000001	288060.79	338333.54999999993	329554.54	340553.7300000001	327801.24999999994	223126.12000000002	273918.81	307752.33	241251.36	263726.7100000001	274648.39999999997	331727.33999999997	364608.53	320392.99999999994	326568.6300000001	339187.96	317239.87
Transport	149043.19999999998	161936.58	190380.64999999997	178329.73	175146.44999999998	178209.75000000006	119827.90999999997	147208.08999999997	187204.41999999998	142693.21999999997	142169.54000000004	152879.13999999998	181766.93	195283.07	168056.13	183006.27999999997	189569.52000000008	166108.85000000003
Transporters [BR:ko02000]	4978083.010000011	5191152.750000016	5932833.87999996	6102806.839999975	6224151.650000009	5906648.499999951	3658000.4999999837	4569226.379999956	5218876.509999996	4232541.510000017	4597806.440000036	4733539.1799999885	5627021.990000019	6239545.930000046	5321873.080000005	5719879.590000026	6082209.31999999	5283799.520000003
Tropane	58484.0	59842.810000000005	74181.13	69327.09	74333.75	68324.65999999997	43047.50000000001	55087.670000000006	63737.26999999999	50409.520000000004	54070.93	55428.52	65890.05	74427.48	64144.41	68846.03	69770.01000000001	65424.73
Tryptophan metabolism [PATH:ko00380]	356046.49	388926.01	437315.5999999998	424398.5399999999	420842.37000000005	408429.9700000001	256199.54	336882.3699999998	384036.53	301279.86	329663.67000000004	323331.68000000005	416344.80000000005	446829.50000000006	394557.22	429958.14999999997	438701.07000000007	397431.49
Tuberculosis [PATH:ko05152]	89460.49999999999	95397.59000000001	109048.26	105123.9	107109.93000000001	106619.9	75110.89	89231.55	97754.70000000003	77227.63	88595.07999999999	91978.75	108038.25	115343.84	105137.09	107343.82999999999	111861.76	100771.27000000003
Two-component system [BR:ko02022]	646289.1099999998	591697.9399999998	739251.7899999996	779721.7799999997	842672.8199999996	790152.8299999995	431282.39	512804.2999999995	636458.3999999998	525178.9300000005	548684.7300000004	561951.8199999998	683006.2299999993	790998.5100000002	641085.49	679268.6699999998	729807.3000000003	642317.5100000001
Two-component system [PATH:ko02020]	1466299.8800000004	1360150.4099999995	1681315.040000001	1752162.430000002	1891518.7600000005	1771982.8700000024	1018066.2800000004	1206611.52	1440762.7600000019	1187261.6800000006	1270742.189999999	1312425.9899999995	1559730.740000001	1793619.919999998	1481135.0000000002	1554254.5000000012	1664226.3299999991	1487144.6699999997
Type I diabetes mellitus [PATH:ko04940]	23338.7	28469.570000000003	29640.65	28296.0	24876.850000000006	26926.93	19608.82	25334.91	27420.49	20877.29	23541.31	24394.53	29537.65	30384.190000000002	29011.01	30455.03	30842.12	28288.76000000001
Type I polyketide structures [PATH:ko01052]	2005.3400000000001	2137.0	1788.33	1579.0	1632.3100000000002	2051.34	1743.3400000000001	1910.0	2249.68	1983.3400000000001	1738.0	2245.34	2928.0	2299.34	2510.66	3142.05	2696.9799999999996	2871.34
Type II diabetes mellitus [PATH:ko04930]	16827.950000000004	17708.24	20160.93	20253.1	19733.08	19924.34	14730.37	17604.66	20376.01	15258.09	16644.89	18084.500000000004	21187.4	23146.24	20087.25	20769.7	21612.110000000004	19228.28
Tyrosine metabolism [PATH:ko00350]	232771.32000000004	234025.85	276768.10000000003	272025.17999999993	288388.14	265617.3999999999	160235.97999999998	209905.8599999999	240747.81	190136.62999999998	211213.61	206287.12	259787.49	290914.94000000006	243357.41	268707.95	280608.34	250180.93000000002
Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	156283.50000000003	168428.06999999995	191496.16000000003	186708.10000000003	190101.24000000005	182797.68999999997	128194.45000000003	158540.11999999994	182738.66999999995	140076.08	152943.61000000002	160690.28	195428.31999999995	211662.31	183671.59000000003	192048.27999999985	200489.93000000002	178873.16
Ubiquitin mediated proteolysis [PATH:ko04120]	15.0	18.0	36.0	0.0	7.0	9.0	0.0	28.0	0.0	14.0	9.0	21.0	34.0	0.0	24.0	27.0	7.0	20.0
Ubiquitin system [BR:ko04121]	11336.030000000002	17293.66	15671.56	13743.57	9393.04	12379.66	12017.97	15733.330000000002	17108.46	11971.9	13048.320000000003	14315.89	18001.91	16637.370000000003	17083.09	17464.2	16774.36	15937.21
Unclassified viral proteins	33226.65	35998.57000000001	41367.24000000001	38792.130000000005	39620.06	38607.09	28090.71	35289.96	38666.36	29965.33	32511.390000000014	34385.17	40914.23	43927.58	40277.67	40269.72	41369.11	39804.91
VEGF signaling pathway [PATH:ko04370]	50.0	43.0	14.0	0.0	11.0	84.0	68.0	80.0	55.0	46.0	56.0	95.0	19.0	44.0	22.0	14.0	83.0	19.0
Valine	784156.1799999995	844404.6900000001	941999.11	923840.7299999999	928850.4600000001	910075.8	583625.0199999999	741076.07	840766.7899999999	660361.1199999998	729347.7	728382.5599999997	915321.2899999996	991295.3800000001	873036.6	934963.3900000001	958427.5600000003	867747.79
Vancomycin resistance [PATH:ko01502]	97290.17	112408.12000000001	120254.46	117834.95	111560.72	115920.37999999999	82960.13	102238.79000000001	116252.01000000001	88264.98	97118.99000000002	103245.85	122757.86000000003	129894.72000000003	117890.82	121839.39000000001	127591.25999999998	114268.19000000003
Various types of N-glycan biosynthesis [PATH:ko00513]	9213.1	14164.5	12575.4	11988.0	10066.7	10554.17	6711.5	10217.5	14313.97	9948.11	9624.5	9067.0	14184.33	14040.0	11762.0	14242.85	14042.16	11106.57
Vascular smooth muscle contraction [PATH:ko04270]	0.0	6.0	0.0	14.0	0.0	24.0	10.0	0.0	0.0	0.0	0.0	5.0	20.0	0.0	8.0	0.0	26.0	0.0
Vibrio cholerae infection [PATH:ko05110]	703.75	604.5	971.5	821.75	1107.0	864.25	464.0	384.0	803.75	587.75	732.95	753.0	750.0	931.0	719.5	848.8	611.0	693.25
Viral carcinogenesis [PATH:ko05203]	16793.950000000004	17708.24	20129.93	20222.1	19733.08	19924.34	14679.37	17604.66	20341.01	15224.09	16644.89	18075.500000000004	21187.4	23145.24	20050.25	20769.7	21600.110000000004	19228.28
Viral myocarditis [PATH:ko05416]	24425.37	19413.5	28174.12	27439.19	33200.07	29352.85	14695.67	17756.5	19730.620000000006	16793.73	19565.1	18872.67	22071.15	27324.51	22186.99	23139.74	24239.750000000004	22736.160000000003
Viral proteins [BR:ko03200]	137.0	94.75	87.5	90.0	23.5	110.0	114.75	141.75	328.5	230.5	137.25	182.75	199.25	151.25	209.0	197.25	250.0	212.0
Vitamin B6 metabolism [PATH:ko00750]	87817.20000000001	97568.71	109077.95999999999	104961.81	103904.96000000002	102584.62999999999	72253.77	91178.01	99393.23	78343.75	86154.97	89762.37000000001	106474.28000000001	113971.0	103297.92	107336.98999999999	109826.1	102313.79000000002
Wnt signaling pathway [PATH:ko04310]	0.0	0.0	0.0	0.0	0.0	0.0	12.0	13.0	9.33	0.0	0.0	9.0	0.0	0.0	13.67	8.33	12.0	0.0
Xylene degradation [PATH:ko00622]	29685.59	35229.33	41387.47	36776.51	34968.229999999996	35155.06	20639.77	30203.329999999998	34808.950000000004	26574.170000000006	29415.22	29377.23	33566.64	33525.479999999996	33405.32	37852.770000000004	38811.33	33895.75
Yersinia infection [PATH:ko05135]	149.0	126.0	73.2	54.0	101.0	241.6	127.8	173.6	98.0	92.0	163.4	218.0	147.0	93.4	109.0	185.8	260.0	173.0
Zeatin biosynthesis [PATH:ko00908]	15301.45	16456.16	18720.7	18150.9	18329.28	17897.42	12768.52	15742.48	17283.04	13452.04	14807.570000000005	15725.96	18682.99	20208.79	18158.75	18380.57	19006.93	17801.570000000003
alpha-Linolenic acid metabolism [PATH:ko00592]	27143.32	30431.410000000003	31821.2	31579.75	30701.760000000002	32468.059999999998	17332.06	24162.25	31183.340000000004	22658.71	23413.5	23667.059999999998	33067.740000000005	35129.86	29540.5	32685.61	32785.7	29342.770000000008
beta-Alanine metabolism [PATH:ko00410]	179443.95000000004	200573.85000000003	217499.0	214324.73	211242.86999999997	209403.62000000002	133542.22	173505.55000000002	192080.34000000003	152768.94	169550.99	167717.82	210102.19	224605.53000000003	201660.83999999997	216560.2	227272.90999999997	200268.73000000004
beta-Lactam resistance [PATH:ko01501]	201640.13000000003	203961.53	237797.62999999995	240807.62	252775.27	241781.74999999997	151633.68999999997	180729.76000000004	211545.27000000005	171733.22999999998	182237.58	194827.51	222964.35999999993	251354.25000000006	216665.77000000002	228748.79000000007	235692.59000000008	214940.70000000004
cAMP signaling pathway [PATH:ko04024]	3020.25	5452.25	3693.17	3592.5	2376.33	3385.75	2475.5	3685.5	3536.95	2598.25	3148.75	3196.75	4884.25	4447.0	4132.0	4530.5	4748.75	3871.27
cGMP-PKG signaling pathway [PATH:ko04022]	15.0	21.0	0.0	14.0	7.0	35.0	30.0	0.0	20.0	0.0	16.0	22.0	36.0	0.0	26.0	17.0	26.0	0.0
mRNA surveillance pathway [PATH:ko03015]	78.0	43.0	13.0	0.0	17.0	58.0	68.0	66.5	42.0	57.0	80.0	111.0	19.0	13.0	22.0	20.0	78.0	25.0
mTOR signaling pathway [PATH:ko04150]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	4.0	0.0
p53 signaling pathway [PATH:ko04115]	24425.37	19413.5	28174.12	27441.19	33200.07	29355.35	14700.67	17763.0	19730.620000000006	16798.23	19567.6	18872.67	22071.15	27330.01	22186.99	23139.74	24245.250000000004	22739.160000000003
