Pathway	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Peptidases and inhibitors [BR:ko01002]	952032.2700000003	985375.0	1138176.12	1138351.0599999998	1148208.6000000003	1135011.9300000004	728772.8	876276.5500000004	1043635.3900000004	813647.0399999999	876729.7000000003	916925.8500000003	1102579.38	1211089.5000000005	1040843.5700000004	1095989.39	1149055.79	1030301.4400000001
Peptidoglycan biosynthesis [PATH:ko00550]	309228.81	331925.2	374316.46	368123.75999999995	364375.50999999995	359995.43	257816.41999999998	313727.91	354391.97	274338.2400000001	296904.18	317882.97	372751.4600000001	402328.13999999996	358480.46	373705.76	382418.67	353554.83999999997
Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	429492.0900000001	442614.3699999999	511175.45999999973	508556.69999999995	515666.37999999995	503876.4199999997	347679.0900000003	415591.00999999983	482015.8999999999	375711.0700000002	403583.85000000027	432620.08999999985	506588.77999999997	556294.88	484650.18000000005	504027.7500000001	523197.58	478802.92999999993
Peroxisome [PATH:ko04146]	175947.30000000005	194962.92999999996	211569.42000000004	209662.02000000002	203126.86000000002	206516.56000000008	132277.03	170510.5	196283.92	150999.15	163361.5	165678.07000000004	214396.43999999997	228367.88999999996	199386.99	214818.84999999998	219790.21999999997	199130.64000000004
Pertussis [PATH:ko05133]	20290.120000000003	15481.5	23234.289999999994	22552.81	28547.97	23780.859999999997	13448.519999999999	15987.999999999996	18167.480000000003	18377.33	16906.15	18403.52	19412.41	24666.020000000004	19285.73	19530.100000000002	22205.83	19860.6
Phagosome [PATH:ko04145]	0.0	10.0	0.0	10.0	10.0	0.0	22.0	45.0	37.0	0.0	0.0	8.0	0.0	0.0	0.0	15.0	0.0	10.0
Phenazine biosynthesis [PATH:ko00405]	30822.350000000002	30967.82	38610.270000000004	36622.05	36595.96000000001	35443.57	25440.370000000003	31074.16	36592.93	27335.760000000002	29465.190000000002	31459.92	35821.979999999996	38503.380000000005	35580.0	36954.69	36153.799999999996	35354.19000000001
Phenylalanine	322399.2400000001	345959.77	395866.8	384368.36	389736.57000000007	375552.0399999999	262282.05999999994	328503.9599999999	361803.36	284624.06000000006	311590.2300000001	327882.32999999996	389810.16999999987	418692.61000000004	376121.22000000015	388005.43	399525.85999999987	371628.42999999993
Phenylalanine metabolism [PATH:ko00360]	363602.19000000006	394502.84	440795.65999999986	433577.4	436076.42000000004	420343.08999999973	248007.16999999995	326422.90999999986	379744.1400000001	298118.8100000001	326895.4400000002	319488.29000000004	420230.12	457700.5100000001	389510.05999999994	431172.9700000001	447053.2800000001	394179.80000000005
Phenylpropanoid biosynthesis [PATH:ko00940]	67324.3	80453.66	82796.59	81861.35999999999	76490.41	78950.89	47358.0	61025.31	82289.44	62058.59	61439.42	62222.67	85905.94	91620.06	74896.95999999999	83330.45	89290.83	71341.39
Phosphatidylinositol signaling system [PATH:ko04070]	55475.69	58900.729999999996	67523.64	66558.98000000001	69877.21	65388.84	44295.19	53702.47	57848.770000000004	46747.869999999995	53891.58	55136.490000000005	65730.62000000001	72248.75	63564.4	65470.70999999998	69613.34	61586.570000000014
Phospholipase D signaling pathway [PATH:ko04072]	8868.699999999999	7084.83	10776.23	9966.93	12685.15	10550.22	6574.23	7965.13	9401.92	7586.48	8222.070000000003	8476.99	10137.32	12145.54	9529.58	9367.549999999996	10780.84	9804.340000000004
Phosphonate and phosphinate metabolism [PATH:ko00440]	37468.92	35791.82	49324.53999999999	45679.90000000001	47336.65	44016.34000000001	28844.790000000008	35820.479999999996	35482.26000000001	31170.110000000008	34971.77000000001	37096.57000000001	35726.57000000001	42003.56	37353.09	39363.990000000005	42380.33	38129.82000000001
Phosphotransferase system (PTS) [PATH:ko02060]	44327.48	49191.82000000001	49400.479999999974	60669.00999999999	52400.030000000006	51660.65999999998	40038.94000000002	42900.32999999999	47556.979999999996	40854.38000000001	39614.52000000003	47626.83	47078.22	50311.29000000002	45372.75	49866.82000000003	49167.44	45572.32000000001
Photosynthesis - antenna proteins [PATH:ko00196]	510.0	943.9500000000002	2148.0	456.0	1460.0	1671.2799999999997	11957.95	7706.45	7716.0	3118.0	10793.72	12055.509999999998	10485.28	10416.0	8244.0	6652.949999999999	12754.720000000001	3798.0
Photosynthesis [PATH:ko00195]	131361.27	141292.49000000002	166086.93	154841.68000000002	159635.91	156544.65999999997	146286.38000000003	155495.22	168967.83000000005	122833.66	158550.01	171040.16999999998	189675.81000000006	202349.74000000002	178706.5	175391.01000000004	200535.62999999995	162116.73000000004
