FeatureID	FullPath	CompactPath	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
14eb3703737c6073b96f6aa048f1422e	Bacteria;Pseudomonadota;Gammaproteobacteria;Rickettsiellales;Rickettsiellaceae;Incertae_Sedis;Unassigned	Bacteria;Pseudomonadota;Gammaproteobacteria;Rickettsiellales;Rickettsiellaceae;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1504cf03f325e84404626e828fe190fa	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;Incertae_Sedis;Incertae_Sedis;Unassigned	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;Incertae_Sedis;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
151d71d04133cc1762f4265e2fbf61ed	Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Unassigned;Unassigned;Unassigned	Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
154b6ef2a6e54bb27eaade4e01643fca	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Unassigned	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
155d0ef49ca229fe4919d8193d8c7a89	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	0	0	15	14	10	0	0	9	0	0	0	0	0	0	0	0	0	0
15bc82b908a994461283adf7aeed6da6	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lentzea;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lentzea	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15bf55b79f0f5abc91af46aa621f8699	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Unassigned;Unassigned	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
15c426d5b2c9920f7e842ccddecf8374	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	0	0	0	0	0	0	0	16	0	0	0	0	7	0	0	0	0	0
15c9d05f999019665b85e77a6617cd2f	Bacteria;Myxococcota;Polyangiia;Polyangiales;Sandaracinaceae;Incertae_Sedis;Unassigned	Bacteria;Myxococcota;Polyangiia;Polyangiales;Sandaracinaceae;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	12
163af0cab352196b6c6f42a847b79793	Bacteria;Chloroflexota;Anaerolineae;Ardenticatenales;Ardenticatenaceae;Incertae_Sedis;Unassigned	Bacteria;Chloroflexota;Anaerolineae;Ardenticatenales;Ardenticatenaceae;Incertae_Sedis	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
16908489817e1cfdd163f13938103c93	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae	1158	735	1433	1330	1644	1108	355	289	758	662	563	409	784	934	566	732	916	746
16a882a7b0779def7d40eacb95442f4d	Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Mitochondria;Incertae_Sedis;Unassigned	Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Mitochondria;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0
16d8eb3a9dd1d75b5e17405c0a87746c	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Unassigned;Unassigned	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
175a6d2ccd1de0a163dd121139339920	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;KD3-93;Incertae_Sedis;Unassigned	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;KD3-93;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
