Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Glycomyces	17	30	0	10	5	27	5	6	19	0	0	8	8	10	12	28	16	5
Rhodomicrobium	28	32	13	21	9	9	73	27	43	32	38	50	12	27	40	67	32	26
Agrobacterium	0	0	17	9	12	0	0	19	0	42	32	12	0	15	10	32	7	23
Neorhizobium	74	0	56	0	0	0	0	6	0	0	0	20	0	0	0	20	0	0
Nordella	24	21	0	41	18	16	20	12	28	0	8	7	14	0	18	37	29	20
Sorangium	34	0	0	31	0	0	47	0	0	34	0	37	0	0	37	0	12	0
Ramlibacter	0	0	37	28	0	27	0	0	0	0	18	28	18	25	16	11	0	0
Pir4_lineage	0	33	23	0	4	0	36	107	67	7	28	59	20	14	47	22	7	15
Clostridium	0	113	0	0	4	0	16	0	0	0	0	0	0	0	7	0	0	25
Rubrobacter	8	23	0	0	4	0	15	0	19	0	0	20	6	12	12	10	18	10
Microbacterium	28	0	0	11	11	10	8	0	9	16	0	32	10	0	13	17	10	9
Arthrobacter	6	15	0	9	0	0	0	20	16	9	13	0	10	0	17	11	12	0
Dactylosporangium	0	11	0	0	0	0	0	0	0	0	0	0	0	9	18	17	0	64
Nitrospira	15	23	0	0	7	11	20	0	20	0	16	17	16	0	18	51	5	4
Asticcacaulis	0	0	7	27	18	8	0	0	10	0	0	0	0	25	0	6	10	0
Blastococcus	0	35	0	16	0	0	0	29	14	0	0	51	16	0	0	0	0	0
Actinosynnema	0	44	0	0	0	16	0	0	0	0	17	0	52	24	0	0	0	0
Marmoricola	0	0	28	0	0	20	0	0	0	13	15	0	0	0	25	20	23	0
Ferrovibrio	0	12	0	14	18	6	0	0	0	0	0	0	12	16	0	33	0	0
Subgroup_10	26	10	24	18	17	31	33	0	68	11	35	20	11	24	112	46	9	11
Microvirga	10	16	0	9	11	14	17	15	19	13	13	25	0	11	0	0	0	16
Sphingobium	0	0	27	0	0	0	4	5	6	0	9	0	0	4	12	18	0	11
Pirellula	0	0	0	0	7	6	16	19	9	0	20	31	9	0	13	8	9	0
Microcoleus_Es-Yyy1400	0	16	0	0	0	0	52	79	24	0	57	55	0	0	0	49	24	48
Pseudolabrys	13	12	6	9	6	14	14	10	11	7	9	24	4	10	8	0	0	7
Shinella	12	0	0	0	14	0	0	48	0	9	16	9	0	0	0	9	12	22
Desertimonas	13	24	0	0	0	13	19	15	0	0	0	0	0	0	0	15	0	13
Roseateles	0	0	0	0	0	0	0	0	0	0	18	0	0	48	0	0	21	0
Iamia	0	0	0	9	0	0	23	0	14	0	0	0	14	12	0	0	0	14
Rhizorhabdus	0	0	13	12	17	5	0	0	0	0	8	0	6	11	0	0	0	13
Chryseobacterium	7	0	13	3	7	3	0	22	13	9	12	4	0	0	14	105	0	8
Cupriavidus	0	0	0	44	0	46	0	14	16	0	14	0	0	0	0	12	0	19
Luteolibacter	0	3	10	0	0	0	0	11	7	0	10	11	13	10	0	12	7	0
Arenimonas	10	0	22	16	33	11	6	0	0	21	54	0	10	11	32	12	12	19
Cellulomonas	0	7	0	0	0	7	26	8	12	14	18	11	41	0	17	0	10	12
Rhizobium	0	0	0	16	0	22	0	9	0	14	0	0	0	9	15	0	0	0
Salinispira	3	0	4	4	0	0	2	9	8	3	3	6	0	11	13	0	0	9
TM7a	0	0	7	0	29	6	0	20	3	7	12	0	7	0	15	0	0	14
Hirschia	10	6	0	5	0	4	11	11	9	7	3	14	10	0	5	8	19	14
Ellin6055	20	0	0	18	18	18	26	26	10	6	0	0	21	12	14	23	0	10
Chthoniobacter	3	6	0	0	0	5	29	5	21	4	9	33	10	9	17	4	0	3
Planifilum	9	14	0	15	4	0	0	29	23	0	0	0	0	0	8	0	0	13
Ilumatobacter	0	0	0	13	0	10	12	0	0	0	0	10	4	0	11	0	4	0
Bryobacter	11	8	0	4	0	6	7	3	6	0	14	0	0	3	0	0	0	5
Metabacillus	0	15	0	0	11	0	0	19	14	0	0	0	0	0	0	0	0	0
Catellatospora	0	0	14	0	0	0	0	0	0	0	12	0	0	0	8	8	0	16
Oryzobacter	0	0	0	0	0	0	16	14	0	0	0	0	12	0	16	0	0	0
Allorhizocola	44	53	0	9	40	0	9	0	0	0	8	0	0	17	0	0	16	0
Saccharothrix	8	0	16	0	0	0	0	21	0	0	0	0	0	0	8	0	0	0
Brevibacillus	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microcoleus_PCC-7113	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
Pajaroellobacter	7	16	0	14	0	10	17	0	23	0	0	0	0	7	8	0	0	11
Terribacillus	0	0	0	0	0	0	30	0	13	0	0	0	0	0	0	0	0	7
OM27_clade	0	10	0	0	16	0	15	0	0	0	12	0	3	0	20	0	11	13
Rhizocola	0	0	0	0	0	0	0	11	13	0	0	0	11	0	0	10	0	0
Hyphomicrobium	0	0	41	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia	0	0	15	0	9	0	1	0	0	0	0	6	0	17	0	0	0	0
Oleiharenicola	0	0	0	0	0	0	12	13	8	0	0	9	0	0	12	6	12	0
FFCH7168	3	8	0	0	0	0	0	16	6	8	0	0	9	7	0	5	9	0
Nonomuraea	0	6	0	14	0	6	10	0	0	0	0	0	13	0	0	0	26	0
Ammoniphilus	0	0	10	4	0	10	0	14	0	0	0	0	0	0	0	0	0	0
Variibacter	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	24	0	0
Hassallia	0	0	0	0	0	0	0	0	0	7	0	8	0	0	11	0	11	0
Pseudorhodoferax	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0
Intrasporangium	0	12	14	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5
Nannocystis	0	0	0	0	0	5	0	0	14	11	7	6	11	13	18	0	5	12
Cryobacterium	0	0	0	0	0	0	0	0	12	0	18	0	0	5	0	0	0	0
Ciceribacter	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	7
Antribacter	0	0	3	0	0	0	0	0	6	0	0	0	5	0	7	7	0	6
Candidatus_Ovatusbacter	0	9	0	9	11	0	3	0	0	0	8	0	0	5	0	11	0	0
Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
Umezawaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
Dokdonella	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	21
Cellulosimicrobium	12	0	0	0	0	0	0	0	0	0	0	9	14	0	8	0	0	0
Shimazuella	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	26	0	0
Tumebacillus	4	0	0	0	0	6	8	0	0	7	0	0	0	5	0	16	0	0
SM1A02	15	6	2	9	0	7	15	0	2	7	8	6	11	0	10	10	9	15
Sphaerisporangium	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoplanes	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
Novibacillus	0	0	10	0	0	3	0	0	7	0	0	0	0	0	0	5	0	0
Romboutsia	0	0	0	0	0	0	8	0	0	0	0	16	0	0	0	0	0	0
Burkholderia-Caballeronia-Paraburkholderia	0	0	18	8	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Nostoc_PCC-7107	0	0	0	0	0	13	0	0	0	0	0	10	7	0	0	0	20	0
Cystobacter	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
Bdellovibrio	8	0	0	10	24	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfurifustis	0	0	5	0	0	0	5	0	0	0	8	0	8	0	0	22	0	0
Sporacetigenium	0	0	21	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Pseudobdellovibrio	0	0	0	0	12	0	0	0	5	0	4	0	0	0	0	3	0	3
Allocatelliglobosispora	0	0	0	0	0	0	0	0	0	0	8	0	12	0	0	0	0	0
Turicibacter	0	0	0	0	3	0	5	0	0	0	0	0	4	0	7	0	0	0
Rudaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
Gemmatimonas	3	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	7	0
Rhodopseudomonas	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ellin6067	16	0	0	0	0	0	0	7	0	6	0	0	0	0	5	0	0	0
Paenisporosarcina	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
Chloronema	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	10	0	0
Lutispora	4	0	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Alkalicoccobacillus	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
Microcella	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7
Pseudolysinimonas	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIyi10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Bacteriovorax	0	0	0	0	0	6	0	0	3	0	0	0	0	5	0	3	0	0
possible_genus_04	5	0	5	0	3	5	0	14	0	4	0	5	0	5	13	0	0	0
Gracilibacillus	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phreatobacter	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
OLB17	0	0	0	0	0	0	0	0	0	0	0	5	5	0	3	0	0	0
Cryptosporangium	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Mangrovibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
Candidatus_Nitrosoarchaeum	3	0	3	0	0	2	3	16	0	0	0	0	0	0	0	0	0	0
mle1-7	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5
Labilithrix	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
Methylorubrum	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
Ahniella	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	7	0
Roseimicrobium	0	3	0	0	0	0	0	7	0	0	0	0	0	6	0	0	4	0
Cloacibacterium	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Ellin516	0	0	6	0	0	0	0	9	10	0	0	9	0	0	0	0	0	0
Uliginosibacterium	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Terrimonas	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
EcFYyy-200	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
P3OB-42	0	0	3	0	0	0	0	0	0	3	3	0	0	10	4	12	6	0
Catelliglobosispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Gemmata	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	7	0	0
Actinoplanes	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cohnella	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Ruminiclostridium	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0
Longispora	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Yinghuangia	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0
Novosphingobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
IMCC26207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Pelagibius	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tagaea	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
