SampleID	PCo1	PCo2	PCo3	PCo4	PCo5	PCo6	PCo7	PCo8	PCo9	PCo10	Group
KO1	-0.0329498528692891	-0.125369796160662	-0.061888080140737	-0.0377320184742254	0.00690892259915865	0.00984188354694001	0.0047143531494019	0.0307087241907582	-0.0307391434265242	0.0449744987813313	KO
KO2	0.0283726327097671	0.00667879518655564	-0.130981669745868	0.0340061885068141	-0.188880539874232	0.0294938369733277	0.0370314654001452	-0.0147818129354643	-0.0366499628600161	0.0899298533011264	KO
KO3	-0.163486664817536	-0.0819155460451298	0.122968229121579	0.143584008391939	-0.0627836977000605	0.0489237733512477	-0.0752102674686005	0.0418539312469006	-0.066185835557156	-0.0211735535695188	KO
KO4	-0.145165626319718	-0.0834545664739773	-0.0262023736970366	0.0155769929830097	-0.00597989033262995	-0.0163920231403622	0.0685704033343733	-0.0727645415705712	0.0575673017000786	-0.0760373334638852	KO
KO5	-0.242363380992793	-0.0932214256342212	0.102389870593258	-0.116333384136409	0.0327688924608356	0.00804825679365361	-0.0343809932962612	0.0298208744084951	0.0447686581282053	0.0231843486242637	KO
KO6	-0.1079742782944	-0.13495200148067	-0.0921499879562969	0.0306060505445457	-0.0115003574718534	-0.00779967428564561	0.0417320456594877	-0.0390203782807062	0.0486879464974014	-0.00761477782563836	KO
OE1	0.247131029070806	-0.112823511296319	0.0244096645339372	-0.10773758384599	0.0230661881262222	0.155277556292053	0.013974682887994	-0.0242074448072948	-0.0808673782491227	-0.0613418034925232	OE
OE2	0.151080384629847	0.0482582175415475	0.193597459964811	-0.0250917543047939	-0.102502719983031	-0.00642055428161364	0.0455817485542594	0.00165913205270099	0.0778675250889896	0.0746669135073993	OE
OE3	0.0584091220781564	0.0617698767582492	0.0373428390424145	0.167639797757933	0.0685392639743368	0.0119356349055762	0.085767095009108	0.00529015218542873	-0.0312333926825949	-0.05882443813389	OE
OE4	0.100927539146025	-0.0190273199048859	0.0207563248600669	0.0825874127099125	0.155867666361466	-0.00423961076315132	-0.0206745049050188	-0.0623146693793181	0.0181630844106828	0.123962131828628	OE
OE5	0.0832854873360372	-0.0262948086414314	0.0056962197961777	-0.042246343824979	0.0155444270759001	-0.100623314321093	-0.0253432782830566	-0.132702352339606	-0.00163665607131963	-0.0186608453951187	OE
OE6	0.193972040165677	-0.112754189760486	-0.0739735013316652	0.0160645638083869	0.0330886891196862	-0.0872759041302722	-0.0307196480120154	0.167071998534004	0.0535757145299248	-0.0165088785116328	OE
WT1	-0.0327385837680025	0.15400517448529	-0.0369131204650238	-0.0240172825352733	0.0143499927976248	0.0454690524525777	0.100321769503889	0.0395334940903836	0.0590712349723893	-0.0257886148909226	WT
WT2	-0.129888478635436	0.150769234322417	-0.0520968130898932	-0.0498365954930875	0.0781419520764244	0.0988374887603912	-0.00130902669118575	0.0375585377856656	0.00633270269819977	0.032335097897595	WT
WT3	0.0592305044767542	0.0966754912357781	-0.0267863528559014	-0.0189677490201066	-0.0469137051985269	-0.0358151223844429	-0.0899740947743229	-0.0226534847775817	0.028342058975964	-0.0749399163410047	WT
WT4	-0.00706188766331904	0.110558810804667	-0.0724959381018552	0.021274654648825	0.00241184299477694	0.0331265477832913	-0.153860808945432	-0.0298839867725619	0.00581766051407449	0.00839848688351941	WT
WT5	-0.0834746207984086	0.0753841020055276	0.0117355359564747	-0.0694276204507498	0.026530513395578	-0.138195335136386	0.0533769778312744	0.024789829765385	-0.152726901038556	0.0238210818333686	WT
WT6	0.0226946345458343	0.0857134630577503	0.0545916935155565	-0.0199493372657509	-0.0386574404216762	-0.044192492416091	-0.0195979189540406	0.0200419966033838	-0.000154617630619743	-0.0603822510330975	WT
