SampleID	PCo1	PCo2	PCo3	PCo4	PCo5	PCo6	PCo7	PCo8	PCo9	PCo10	Group
KO1	-0.0285076010786136	-0.00557669849367338	0.186493775290231	-0.0211516515407968	0.0620379543660384	0.124941517925313	-0.0130722252755594	0.0156024959699931	0.107996816585714	0.170869286860463	KO
KO2	0.0120765845219702	-0.0160572466538817	-0.00898247947479161	0.328378978760671	0.0486392170755516	0.0805705115157383	-0.0433475147636646	0.00575968444736054	0.0481465572227039	0.0392012144039383	KO
KO3	-0.227353884636299	0.32167005228179	-0.149220740498953	-0.0346727537214098	0.0114654866935279	-0.136397827895576	-0.0904208126766991	0.0854294591594603	0.0456793609255337	-0.00545822005907694	KO
KO4	-0.164337755294681	-0.0435320165450963	0.0290545762087589	-0.0718204126352062	-0.128196152550155	0.153414137164682	0.0277241076633729	0.255244553428596	-0.0039136953493763	-0.0381528544063492	KO
KO5	-0.300469075125197	-0.072024860328727	0.0417341048662959	0.108640086204137	0.0668783411046526	-0.016235643529267	0.0325520932311663	-0.140935968361502	0.0438370909028686	-0.172691733701966	KO
KO6	-0.158505197348068	0.0106911367818551	0.144242261920635	0.0310484469116364	0.0576959258228485	-0.0675322136095335	0.0388397197523234	-0.067068601104881	-0.042232457484909	0.19821003281533	KO
OE1	0.175017250783942	0.156091342304453	0.154936403433174	0.0539628148623438	-0.152289854670891	-0.174880887881169	0.214140001098975	-0.0210926903983705	-0.0392652428573118	-0.010362228087905	OE
OE2	0.125189875950787	0.165005594549919	-0.0914406498475128	0.022614863606567	-0.161318964165327	0.234221072117283	-0.0752982957564839	-0.170935282573102	-0.0129089904501987	-0.03466968041095	OE
OE3	0.144661012947883	-0.0261090293199152	-0.0345499077037406	0.0669464925164302	0.0168221975752203	-0.0576287822413134	-0.0938170100518365	0.140186883676933	0.129110736987736	-0.025831881645507	OE
OE4	0.0624315238849938	-0.062630064286997	0.0710783667864236	-0.113122524463915	0.0397908033125572	-0.0479383948020795	-0.117500430409475	-0.126401320329305	0.0984798936130581	-0.155581923186886	OE
OE5	0.00214831746195552	-0.0892713150441087	-0.00659451332296255	-0.128099865556864	-0.0502839416678228	-0.0478102517062124	0.127834986463324	-0.0313796658733359	0.168259874880656	-0.0758677418723457	OE
OE6	0.16569608451725	0.0802780034482394	0.184939565603053	-0.127494025740003	0.103379247381679	0.0221831058402161	-0.16089784231163	0.0235126367246908	-0.0689142193223656	-0.0151420487156458	OE
WT1	0.0692442173573844	-0.083541728557596	-0.0572077674407208	0.128275213250014	-0.0807335003605516	-0.0568799208463497	-0.0176919468584793	-0.00845633703181441	-0.144790090881064	-0.0329582085318059	WT
WT2	-0.00774094295396172	-0.203959628900867	-0.0924962091672926	-0.0390611094181684	-0.174039672194171	-0.156821880858056	-0.174818070707757	-0.0116856246785751	-0.0312419490742306	0.135720350071683	WT
WT3	0.153829294207443	-0.023294017298466	-0.11024187726766	0.022215550824952	0.264309411470539	-0.0409456547440314	0.0501096635126086	0.0903495932183859	-0.098696249447837	-0.0577706813705347	WT
WT4	0.0107777579102287	-0.00795029652576072	-0.221467455259521	-0.135288198352058	0.100920597776837	0.0460492775998407	0.107115925658197	-0.13264080446486	-0.00815642028421441	0.155261786361262	WT
WT5	-0.120521612015475	-0.0442843133621128	0.0386312130036545	-0.0800435773919185	-0.00740817820691061	0.065065219777549	0.028744531546958	0.0120607603729403	-0.265947409200968	-0.0758660131467376	WT
WT6	0.0863641489084576	-0.055504914049054	-0.0789086671290736	-0.0113283281164139	-0.0176689187636227	0.0766266161729648	0.159803119884658	0.0824502278173859	0.0745563932342065	0.00109054462303213	WT
