SampleID	PCo1	PCo2	PCo3	PCo4	PCo5	PCo6	PCo7	PCo8	PCo9	PCo10	Group
KO1	0.010160244144823	0.0343888817437782	-0.115984038044979	-0.00727307392756353	0.0822479528047976	-0.0372105111301259	0.0227090815671067	0.0863369754579347	-0.0614106063014006	-0.0283157683437765	KO
KO2	-0.0128608924330008	-0.0783242999361081	-0.133662812457094	0.0952837690679289	-0.0031839455864539	0.0669272650643191	0.00515288952006174	0.0808564441678415	0.0773446195986865	-0.0967564084445973	KO
KO3	0.178561192880299	-0.0852127089139215	0.0731242471696516	0.0570905075019879	0.174773338383084	-0.0352504501567297	0.0645097090368074	-0.0197097737314084	0.123533225120004	0.0868759366682687	KO
KO4	0.132359372941567	-0.0321963088709335	-0.082555254606737	-0.0862017833230939	-0.0193531776194768	-0.0969422222413853	0.0597282759005685	0.027910359429014	-0.0617825617815423	-0.0409893303233598	KO
KO5	0.182106099135653	-0.0946690718592005	0.00111602383601719	0.142919885079944	-0.0429072716777396	0.0784891107514384	-0.138949867754504	-0.0252040080597254	-0.106686303484907	0.00934256876590818	KO
KO6	0.0918896731136708	-0.0347302305961714	0.00389281029575061	-0.12502443864894	-0.0106562287099485	0.0504347594446452	-0.0322599551053625	-0.030367100522942	-0.0745883323754662	0.036596546247648	KO
OE1	-0.155249663057179	-0.00449750503739156	-0.104762707950628	-0.0296967009171677	0.0197822509968807	0.133034107197196	-0.00922750178750357	-0.131421379041195	-0.023258615785648	0.0682347841837754	OE
OE2	-0.0520771771247573	-0.0542529087674381	0.14322986003182	-0.0236140565852614	0.0666840364147108	0.132099119600393	0.0992202005414842	-0.0460932736258787	-0.008717789694597	-0.0934299794232161	OE
OE3	-0.078141522215212	0.000541855236335955	0.0246105757297669	0.0188079090342397	-0.0524604066812294	0.0153209847146237	0.0928398562725469	0.0611622030189523	0.0335322194320233	-0.0310498276974405	OE
OE4	0.0991212030871472	0.375135192351944	0.0160743819279134	0.0193620501146822	0.0256294530600355	0.0332056778457509	-0.019511548045651	-0.0501517743333404	0.0263674862369392	-0.0492564751723233	OE
OE5	-0.00227744365716983	-0.0497846361877576	-0.0290443774600663	-0.124905856686872	-0.0371325111097758	-0.0559389749892106	0.0473788121629546	-0.114357316571336	0.0260275550610499	0.0405038403229371	OE
OE6	-0.105004235023068	-0.0039644233671972	0.0997187893759286	-0.126952925549176	0.126560219321252	-0.0348604892851969	-0.116148808031168	0.112888550167267	-0.0674288384038605	-0.0235456901160747	OE
WT1	-0.03901397321197	-0.0608593245925476	0.00151782711747111	-0.0203834684673853	-0.0556425211603902	0.0216729200821893	-0.0880754378205896	0.0123828516231778	0.110261802353779	-0.0677441235153117	WT
WT2	0.0288137323701332	0.0438291764795412	0.132249453958601	-0.015136068824103	-0.166107265660808	0.0616259009994048	0.0628183389221017	0.134660813533627	0.000920539759246827	0.112794756978877	WT
WT3	-0.148384969545014	0.0448851283016732	-0.0206131467006932	0.0789066699577843	0.0435439802075318	-0.0493775080727475	-0.0961964756832336	0.0337106938607941	0.0514890836720791	0.122941539365988	WT
WT4	-0.115913911730237	-0.0124428336262176	0.112340680414928	0.167345559063391	-0.0185256200395047	-0.132858864232761	0.0577684446321595	-0.077213289570952	-0.112437272275883	-0.0331080891306161	WT
WT5	0.0126523985254875	-0.0187193292538079	0.0423157471758867	-0.0439132216206524	-0.108013167507308	-0.116538684641197	-0.0920107072809526	-0.0740685801336703	0.0916503775294646	-0.0543906353150608	WT
WT6	-0.0267401282011719	0.0308733468954199	-0.163568059813538	0.0233852447302571	-0.0252391154356574	-0.033832140950606	0.0802546929531729	0.0186776043318386	-0.0248165886599663	0.0412963549483742	WT
