SampleID	PCo1	PCo2	PCo3	PCo4	PCo5	PCo6	PCo7	PCo8	PCo9	PCo10	Group
KO1	0.0750980978245189	0.0358854674852402	-0.0100433260947849	-0.00416136180851028	0.000590101755203664	0.0212880870377026	0.00777770552833058	-0.00394425685538962	0.00337213324620521	0.000515837164256941	KO
KO2	-0.0676954387316511	0.0427762291909342	-0.0701106000941355	0.0352467960073337	0.0164775106957307	0.0152213422939761	0.000960391535892318	0.0023925004883209	0.000930610058598062	0.00529760208022356	KO
KO3	0.0336509043170079	-0.0399468060324724	0.0229068971792608	0.059545289935366	-0.0188564490517397	-0.0134278749571354	0.00332147655774794	-0.00516151581768468	0.000889572000059667	0.0026664483056255	KO
KO4	0.0612993630685224	0.0177332993376908	-0.0199583019751226	0.0178249586716632	-0.00172692551755042	-0.0172926509366095	0.0204615659926259	-0.0171705682141654	-0.00531733488926004	-0.0148528023037604	KO
KO5	0.158927702328805	-0.0361962677839351	0.0127427264134118	-0.0124188741967544	0.0390919051354747	0.0070479234523112	-0.0166674733988225	0.00624500036997043	-0.00254061761871275	-0.00345527126837757	KO
KO6	0.104288825496626	0.0358321538013749	-0.0134845827672975	0.0132916542810967	-0.0138463321635571	0.00379077108919895	-0.000182150923972903	0.0170388877281456	0.0015728613483037	0.0087517993290326	KO
OE1	-0.0375700394132612	0.0728824756725591	0.0416197644532158	-0.0206265379045466	-0.000233649706986015	-0.00214741360453205	0.0099416951021192	0.00441272384293826	0.00960337163511104	-0.00975723154687879	OE
OE2	-0.0940993960040569	-0.0201597365918402	0.0393124023464682	0.0217548448321091	0.0410733431297151	-0.00710209396331309	0.0102948708220341	0.00600118674551988	0.00534107064881683	-0.00506076499126772	OE
OE3	-0.0598875004536426	-0.0452559418635904	0.0208647705940352	0.0125311811686572	-0.0195822487425755	0.0235646802301462	-0.00722635347795683	0.0277907905640549	-0.00617363491193312	-0.00356683507685302	OE
OE4	-0.0118383542609184	-0.0135294326759784	0.0389438409687166	-0.0056797804897668	-0.0145766882904833	0.0237643995386624	-0.000561276781284131	-0.0300009516628438	-0.0162233610266045	0.00339186861407503	OE
OE5	-0.0112639732006446	0.0250910510586733	0.00708589913919578	-0.00465967751476732	-0.0116156165119374	-0.0232639896711828	-0.0200800380592194	0.00634486090547267	0.00601021835157069	0.00626585433685232	OE
OE6	-0.02420047684843	0.0637051145266413	0.031435146228137	-0.00992088007639502	0.00461552011840971	-0.00344424334791748	-0.000160492054234709	0.00476085748218984	-0.0203900993012827	0.0076420181535563	OE
WT1	-0.0521864396622924	-0.0470135424179528	-0.0443005561054147	-0.0273324113685337	0.0096779987520185	0.00257329734910454	0.015201351893254	-0.000610934774861055	-0.0136448694827734	0.00493040824865642	WT
WT2	0.026277983381215	-0.0437412906009581	-0.00246176568493019	-0.0297662763089157	-0.0168735905099137	-0.00430545574178251	0.0318421174390405	0.0116465903163175	0.0131949082320802	0.00166605913952441	WT
WT3	-0.0334890811155142	-0.0026297521466228	-0.0042542155553307	-0.0179981154009248	-0.00244607688225758	0.00385225522043233	-0.00762899808347982	-0.0130716108629165	0.0201650659628873	0.0108673881473544	WT
WT4	-0.0312262496965476	-0.00316777751147336	-0.0309884850722754	-0.0109128872570734	-0.0157879999864045	0.00556184707855077	-0.0225975300190918	-0.00184603208621028	0.00276557860469202	-0.024630890121372	WT
WT5	-0.0159322324840302	-0.0175363738206606	-0.0214718006418367	-0.0170838229496732	-0.00258789919560735	-0.0337894635735038	-0.0110708460929462	0.00215752309190466	-0.0158271011826633	0.00299646334393978	WT
WT6	-0.0201536945457065	-0.0247288696276294	0.00216218666868711	0.000365900379635326	0.0066070969724607	-0.00189141749410818	-0.0136260159800365	-0.0169850512607632	0.0162716283249049	0.0063320484454117	WT
