Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Unassigned	215	189	212	203	391	264	99	203	66	129	147	108	60	79	99	138	119	131
Bacteria;Myxococcota;Polyangiia;Polyangiales;BIrii41;Incertae_Sedis;Unassigned	418	462	280	263	173	688	376	342	240	438	284	248	276	203	339	288	251	322
Bacteria;Pseudomonadota;Alphaproteobacteria;Dongiales;Dongiaceae;Dongia;Unassigned	78	86	33	23	22	34	112	92	62	60	62	106	51	39	78	64	46	70
Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;Incertae_Sedis;Incertae_Sedis;Unassigned	39	59	125	27	79	94	964	416	452	245	545	807	575	549	471	327	691	186
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_Sedis;Incertae_Sedis;Unassigned	64	35	55	37	24	48	82	51	50	45	59	40	24	39	83	22	40	75
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Unassigned	66	83	46	78	60	168	42	31	59	30	68	58	39	27	40	31	109	30
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Unassigned	55	36	114	66	146	71	43	57	17	78	79	56	44	38	38	68	114	63
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Unassigned;Unassigned	114	122	151	131	156	104	105	133	125	114	247	153	102	113	91	177	146	183
Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;Incertae_Sedis;Incertae_Sedis;Unassigned	30	25	34	60	77	21	61	36	27	47	42	41	41	88	51	45	40	35
Bacteria;Actinomycetota;Actinobacteria;Frankiales;Nakamurellaceae;Vallicoccus;Unassigned	39	52	60	39	22	34	26	44	52	39	43	25	70	49	38	35	91	82
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudoxanthomonas;Unassigned	47	27	19	43	34	178	24	18	37	41	27	52	19	20	47	32	28	24
Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Kibdelosporangium;Unassigned	24	38	0	431	203	16	24	46	16	61	21	42	108	14	38	47	34	76
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Permianibacter;Unassigned	33	8	26	23	48	27	29	15	34	42	26	27	53	30	25	32	35	33
Bacteria;Myxococcota;Polyangiia;Polyangiales;Sandaracinaceae;Sandaracinus;Unassigned	36	25	36	40	45	25	14	22	26	26	25	19	37	24	29	29	28	39
Bacteria;Myxococcota;Polyangiia;Haliangiales;Haliangiaceae;Incertae_Sedis;Unassigned	91	74	24	49	48	42	115	84	69	78	83	120	51	54	97	65	53	74
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;Unassigned	29	39	35	31	51	33	0	16	19	23	28	48	26	26	20	28	34	0
Bacteria;Myxococcota;Polyangiia;Polyangiales;Sandaracinaceae;Incertae_Sedis;Unassigned	30	21	36	44	40	30	25	15	55	47	37	50	43	46	62	63	28	51
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Phyllobacterium;Unassigned	38	39	15	35	43	62	13	15	27	21	28	25	37	26	22	29	28	15
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Croceibacterium;Unassigned	27	19	43	36	30	45	29	12	17	22	36	21	6	29	26	20	26	24
Bacteria;Actinomycetota;MB-A2-108;Incertae_Sedis;Incertae_Sedis;Incertae_Sedis;Unassigned	49	103	50	53	16	46	94	119	84	86	79	125	67	47	91	76	46	74
Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Unassigned;Unassigned	21	93	40	50	2	53	54	81	47	64	64	45	55	50	61	28	40	72
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Bosea;Unassigned	37	13	101	136	101	58	38	72	12	19	54	30	45	22	40	43	87	48
Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Unassigned	60	83	116	61	63	65	28	47	45	31	32	43	31	13	41	38	20	41
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Niastella;Unassigned	18	11	7	10	6	6	53	19	77	67	48	35	45	51	40	58	18	35
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;Unassigned	39	44	21	33	39	50	0	0	31	13	14	0	23	41	26	0	31	0
Bacteria;NB1-j;Incertae_Sedis;Incertae_Sedis;Incertae_Sedis;Incertae_Sedis;Unassigned	30	38	17	27	7	33	71	33	27	39	29	86	35	29	37	25	32	61
