KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
0	0	0	0	0	0	0	0	0	0	0	0.0348229831688915	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.0348229831688915	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.0580383052814858	0	0	0	0	0	0
0	0.138521596776225	0	0	0.0543847722637661	0.115058248238171	0.719090698213871	1.33027927054885	0.156178226917777	0	2.99810645907848	0.591990713871155	0.0638637573177222	0	0	0.712937722793038	0.367197062423501	0.465263825737549
0	0.138521596776225	0	0	0.0543847722637661	0.115058248238171	0.719090698213871	1.33027927054885	0.156178226917777	0	2.99810645907848	0.591990713871155	0.0638637573177222	0	0	0.712937722793038	0.367197062423501	0.465263825737549
0	0.138521596776225	0	0	0.0543847722637661	0.115058248238171	0.719090698213871	1.33027927054885	0.156178226917777	0	2.99810645907848	0.591990713871155	0.0638637573177222	0	0	0.712937722793038	0.367197062423501	0.465263825737549
0	0.138521596776225	0	0	0.0543847722637661	0.115058248238171	0.719090698213871	1.33027927054885	0.156178226917777	0	2.99810645907848	0.591990713871155	0.0638637573177222	0	0	0.712937722793038	0.367197062423501	0.465263825737549
0	0	0	0.338132635253054	0	0.460232992952682	0	0.08809796493701	0.156178226917777	0	0.147275405007364	0	0	0.0417362270450751	0	0.125812539316419	0	0.116315956434387
0.133368898372899	0.0755572346052134	0.157166806370495	0	0.0271923861318831	0.043146843089314	0.568313616330318	0.061668575455907	0.091869545245751	0.147182506307822	0.147275405007364	0.417875798026698	0.500266098988824	0	0.225894661752467	0.0104843782763682	0.0778902859686213	0.105741778576716
0.0666844491864497	0.0755572346052134	0	0.043630017452007	0	0.0143822810297713	0.0811876594757597	0	0.0551217271474506	0.0946173254835997	0	0.197330237957052	0.0745077168706759	0.0626043405676127	0.154559505409583	0	0.0333815511294091	0
0.0666844491864497	0.0755572346052134	0	0.043630017452007	0	0.0143822810297713	0.0811876594757597	0	0.0551217271474506	0.0946173254835997	0	0.197330237957052	0.0745077168706759	0.0626043405676127	0.154559505409583	0	0.0333815511294091	0
0.693518271539077	0.0755572346052134	0.0209555741827326	0.272687609075044	0	0.0575291241190853	0.649501275806077	0	0.248047772163528	0.578216989066442	0.147275405007364	0.510737086477075	0.20223523150612	0.104340567612688	0.523124479847818	0.146781295869155	0.211416490486258	0.0951676007190441
0.520138703654308	0.554086387104899	0.220033528918692	0.359947643979058	0.53025152957172	0.719114051488566	0	0	0.284795590261828	0.136669470142977	0.147275405007364	0	0.244811069717935	0.42779632721202	0.309119010819165	0	0.344942695003895	0
0.520138703654308	0.554086387104899	0.220033528918692	0.359947643979058	0.53025152957172	0.719114051488566	0	0	0.284795590261828	0.136669470142977	0.147275405007364	0	0.244811069717935	0.42779632721202	0.309119010819165	0	0.344942695003895	0
0.520138703654308	0.742979473617932	1.30972338642079	0.294502617801047	1.07409925220938	1.3519344167985	11.1807005335189	3.66487534137961	4.15250344510795	2.57569386038688	5.73322112350095	9.3673824724318	6.12027674294838	5.72829716193656	5.59980977291642	3.42839169637241	7.68888394347391	1.96679708152691
0.560149373166178	0.239264576249843	0.440067057837385	0.130890052356021	0.122365737593474	0.0287645620595426	0.811876594757597	0.687164126508678	0.321543408360129	0.725399495374264	0.326109825373448	0.359837492745212	0.191591271953167	0.59474123539232	0.737129948876471	0.398406374501992	0.456214532101925	0.697895738606323
0.413443584955988	0.604457876841708	0.209555741827326	0.316317626527051	0.8837525492862	1.09305335826262	0.197170030155416	0.52858778962206	0.312356453835553	0.26282590412111	0.452345886808332	0.313406848520023	0.478978179882916	0.573873121869783	1.07002734514326	0.503250157265674	0.51185045065094	0.454689647879877
0.413443584955988	0.604457876841708	0.209555741827326	0.316317626527051	0.8837525492862	1.09305335826262	0.197170030155416	0.52858778962206	0.312356453835553	0.26282590412111	0.452345886808332	0.313406848520023	0.478978179882916	0.573873121869783	1.07002734514326	0.503250157265674	0.51185045065094	0.454689647879877
2.46732461989864	1.78818788565672	1.85456831517184	2.19240837696335	3.1407205982325	3.22163095066878	1.60055671537926	1.15408334067483	1.79145613229215	1.62952060555088	2.06185567010309	2.34474753337203	0.766365087812666	1.73205342237062	1.26025442872429	1.41539106730971	2.08078335373317	1.46981072221635
14.4571885836223	5.44012089157537	6.8419949706622	8.52966841186737	15.3772943575799	9.90939162951244	7.81721178380886	4.98634481543476	6.89021589343133	9.75609756097561	8.63665053650326	7.19674985490424	10.4097924427887	14.2320534223706	9.13090001188919	8.82784650870203	11.3608545677089	8.89288357830179
2.42731395038677	3.21118247072157	2.7975691533948	2.71596858638743	2.17539089055065	3.58118797641306	1.78612850846671	2.26411769888116	1.79145613229215	1.61900756938604	2.77719335156743	2.18224027858387	1.67110164981373	1.37729549248748	2.7939602900963	2.37995386873558	1.65795037276065	2.3791900179761
37.9567884769272	42.3372371237879	42.6445934618609	41.7212041884817	37.0496261046907	38.0698978858047	35.5717930874507	40.0933838428332	41.1575562700965	40.6644238856182	33.1895644855881	36.5873476494486	38.850452368281	36.6235392320534	37.6055165854238	39.4212623191445	36.2857460776677	40.5096753727398
38.7836756468392	43.0676237249717	43.0741827326069	42.3647469458988	37.9877634262406	39.1629512440673	36.5808397123637	40.6219716324553	41.469912723932	41.3162321278385	33.6419103723964	37.5159605339524	39.4358701436934	37.4373956594324	39.0559980977292	39.9874187460684	36.9311227328363	40.9960875541927
