Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PWY-5840	5428.06239430016	0.657589363560514	0.0705415512539084	115.294024271962	9.20917511194969e-26	3.60078746877233e-23
PWY-5838	5541.47111822522	0.656765172196962	0.0711346854002833	112.626814863169	3.49460340144946e-25	4.60722599813466e-23
PWY-5861	4094.28748185205	0.71570792247392	0.0773782128473618	112.6038529401	3.53495600879897e-25	4.60722599813466e-23
PWY-5897	5226.15786732625	0.690585396085415	0.0753612577111944	110.824699261378	8.60443436460271e-25	5.60722306093276e-23
PWY-5898	5226.15786732625	0.690585396085415	0.0753612577111944	110.824699261378	8.60443436460271e-25	5.60722306093276e-23
PWY-5899	5226.15786732625	0.690585396085415	0.0753612577111944	110.824699261378	8.60443436460271e-25	5.60722306093276e-23
PWY-5863	3153.76117282175	0.884889792743766	0.107045001440356	89.5193219566887	3.64020821354693e-20	2.03331630213835e-18
PWY-5837	2823.90229209445	0.895963119726824	0.110449762349017	86.4532530564558	1.68622151967894e-19	8.24140767743084e-18
GLYOXYLATE-BYPASS	16727.7649363526	-0.0536708399674853	0.014287972785943	65.19108024337	6.98130787054603e-15	2.7296913773835e-13
PWY-5198	1600.45072485309	2.57425424649944	0.334078897570504	65.3814599672197	6.34740717930834e-15	2.7296913773835e-13
ALL-CHORISMATE-PWY	4304.52475092211	0.230952011749774	0.0979792187958826	57.6471990749758	3.034378638027e-13	1.07858367951687e-11
PWY-5850	2925.97685471865	0.169645910411071	0.130623400828153	54.6339219729346	1.36897204962443e-12	4.11744670310116e-11
PWY-5896	2925.97685471865	0.169645910411071	0.130623400828153	54.6339219729346	1.36897204962443e-12	4.11744670310116e-11
PWY-5860	2062.94257060469	0.17429741575231	0.138803936561788	53.9849858860745	1.89369164047784e-12	5.28881022447739e-11
PWY-7315	1514.49358074182	1.25621754692524	0.210992267599996	47.4778532576083	4.9013437103743e-11	1.2776169271709e-09
PWY-7003	1211.10889484545	-0.619159429169257	0.297305787644141	46.8068437149777	6.85524577282272e-11	1.67525068573355e-09
PWY-2941	847.042211619322	-1.09157782083438	0.367604648606503	46.2438820335117	9.08382179124865e-11	2.08927901198719e-09
P105-PWY	23676.3490289069	-0.0286585759937896	0.00942177702569837	46.1131923052843	9.69722604911003e-11	2.1064529917789e-09
PWY-7242	7894.1116481216	-0.338565262421469	0.0543041351003497	43.5075718950056	3.56821325759751e-10	7.34300728274014e-09
P221-PWY	5167.53159753317	-0.230167897263214	0.0807768867169699	42.5431721046829	5.77919776228564e-10	1.08107267800193e-08
PWY-7111	38938.1135090835	-0.0810475157815812	0.0201559208930972	42.533824195246	5.80627269515103e-10	1.08107267800193e-08
PWY-7377	1959.71141127812	1.85504192214579	0.307633470692634	42.3176188035595	6.46912932371127e-10	1.13880521884165e-08
PWY0-166	16966.3398201995	-0.0433486316768288	0.0109849347952496	42.2478288576842	6.69885422848029e-10	1.13880521884165e-08
PWY-5845	3462.1969280483	0.789709669000027	0.158005158506444	40.5472604368121	1.56774082570962e-09	2.55411109521859e-08
CHLOROPHYLL-SYN	2103.32475600177	0.958032544348479	0.169560238157694	39.89393916335	2.17340759305745e-09	3.39920947554185e-08
PWY-5862	2466.49971839144	0.831358607097182	0.168718998337131	39.408056088762	2.77108181965093e-09	4.16728073647506e-08
DAPLYSINESYN-PWY	19290.5416601819	-0.0305806889482358	0.00917096076733876	38.9731726136244	3.44415823328562e-09	4.98765136746177e-08
PWY-6895	2414.40705195577	-1.45263271250175	0.376887857300861	36.8968714246599	9.72626661894117e-09	1.35820366000214e-07
GALACTUROCAT-PWY	4116.10053828798	-0.284613573495865	0.0529016858676068	36.7363198397657	1.05392450884729e-08	1.42098097572168e-07
PWY-7527	822.802002428844	-1.14503272773132	0.342799391379219	35.8355090455829	1.6535528594719e-08	2.15513056017837e-07
PWY-4361	523.183442009063	-1.18574502006405	0.361839038007678	34.5876383510112	3.08595622387537e-08	3.89228672108151e-07
TCA-GLYOX-BYPASS	18000.8848931314	-0.0964022427351494	0.0262264545858644	33.7572684918611	4.67414612042863e-08	5.71122229089873e-07
PWY-6891	598.283226574578	-1.61990820185647	0.445273438440308	33.5283817253207	5.24088240099417e-08	6.20965157208704e-07
POLYAMINSYN3-PWY	4876.8027773683	0.282671580388304	0.085629886139317	32.963730428152	6.95051341754552e-08	7.99309043017735e-07
LEU-DEG2-PWY	16447.1598605431	-0.088433873167421	0.038113259805528	31.9796414489615	1.13686551416753e-07	1.2700411886843e-06
PWY0-1338	112.879896628282	0.274696780988781	0.502921422264284	31.9018013686498	1.18198469042088e-07	1.28376670542935e-06
HSERMETANA-PWY	19524.4442046303	-0.0482827530626821	0.0219420408976142	31.5640576565976	1.39943253549043e-07	1.47885978750475e-06
PWY-6590	627.081053147075	-0.890349755257576	0.386840639237139	30.1395035037248	2.85292247609783e-07	2.93550707409014e-06
CENTFERM-PWY	501.078939144706	-0.90036611975849	0.396503721619368	29.8556961198067	3.28789516004655e-07	3.22866219337038e-06
PWY-7184	18158.3097407513	-0.0441266107711952	0.0122654723608148	29.7971563628535	3.38555370660321e-07	3.22866219337038e-06
SO4ASSIM-PWY	17918.629622344	-0.125073746987561	0.0250292680118927	29.8361504654873	3.32018471428866e-07	3.22866219337038e-06
PWY-5529	2678.12616262616	0.721919672693563	0.142730560067091	29.6731112904255	3.60218283852872e-07	3.35346069015412e-06
GALACT-GLUCUROCAT-PWY	2684.79274582943	-0.436459229015818	0.0837419984257117	28.9536544483481	5.16171261616842e-07	4.69355728586477e-06
PWY0-845	2151.61435095131	0.0496287372703527	0.212538341467875	27.8338567172926	9.03555447931348e-07	8.02932227593539e-06
PYRIDOXSYN-PWY	1414.64340688656	0.108573612696236	0.297051083224851	26.9786899034418	1.38564482130642e-06	1.20397138917958e-05
PWY-5104	14226.6922029271	-0.13888005928624	0.0466025353987779	26.4172166941489	1.83473895198854e-06	1.55952810919026e-05
TYRFUMCAT-PWY	11709.7099655319	-0.170475558590746	0.0707657790089372	25.483784164655	2.92594783877652e-06	2.43413958502472e-05
PWY-5505	8362.97633766904	0.174450769026234	0.0681698997869968	24.8156527291329	4.08648093825368e-06	3.32877926428581e-05
PWY-5509	9238.89625281434	-0.207471207757324	0.0496175087999585	24.7035297962094	4.32211843209375e-06	3.44887409581359e-05
PWY-6269	9230.04177823301	-0.210982041208505	0.0505584351943003	24.5602604765928	4.64309105304827e-06	3.63089720348375e-05
GLUCUROCAT-PWY	3387.83298690091	-0.340628047591469	0.0690990015072214	24.2641545182944	5.38400918766744e-06	4.12774037721171e-05
ASPASN-PWY	4551.70042678195	0.290518031050763	0.107380826651466	23.3204106496343	8.63052409900072e-06	6.48949023597939e-05
P461-PWY	832.500154176345	-0.810414935433602	0.323753951915622	23.0833083948273	9.71680013981956e-06	6.90776155394445e-05
PPGPPMET-PWY	9713.60934714106	-0.252602155902969	0.0776425588479225	23.1096887875835	9.58947520426774e-06	6.90776155394445e-05
PWY-7295	2719.30620380008	-0.433341868256983	0.145000528717249	23.0975391981713	9.64790659713936e-06	6.90776155394445e-05
PWY-7254	5297.65864951161	0.0339525105045559	0.140591571050178	22.9394073534451	1.04416945368458e-05	7.29054029269056e-05
PWY-1861	1460.11189658103	-0.559339804715216	0.275483031854132	22.5064079221861	1.2965689469554e-05	8.89400803964145e-05
RUMP-PWY	1104.430564373	-0.561372024629195	0.281588168425794	21.9489764536913	1.71332724642872e-05	0.000115501888509247
SULFATE-CYS-PWY	20564.552293015	-0.0854140497307309	0.0206842921439121	21.7199052092994	1.92124393740882e-05	0.000127323115174042
P164-PWY	983.30215100651	0.860744656242844	0.235074243198616	21.5577867142944	2.0834644473399e-05	0.00013577243315165
PWY490-3	2196.74143393371	0.377709966524413	0.167878659264698	20.9334070566208	2.84687510019197e-05	0.000182480026913944
PWY-6630	16662.4797178714	-0.0414957364504671	0.0200585162314514	20.7228031739613	3.16300927919934e-05	0.000199473649704346
GLYCOLYSIS-TCA-GLYOX-BYPASS	18493.3445094453	-0.0176590885969377	0.0119010297186437	20.0967686687579	4.3255579186294e-05	0.000268459229553031
PWY-5154	12158.4093706564	-0.0772638708416886	0.0415771599476832	18.718714822551	8.6155443448999e-05	0.000510405733159979
PWY-6071	1852.24509926428	0.00481548961968603	0.0903247492889642	18.7498181142488	8.48259492114445e-05	0.000510405733159979
PWY-722	438.172633409295	-0.767376921910093	0.239522060641465	18.7318811293493	8.55901317570145e-05	0.000510405733159979
PWY-5695	28989.6005206076	0.0118445113095811	0.020074665940979	18.3482922068743	0.00010368572556708	0.000605091323831765
POLYISOPRENSYN-PWY	18173.94345311	-0.0306713028627242	0.0154518708106987	18.1648789689761	0.000113644036165625	0.000653453207952346
FAO-PWY	28983.5684726892	-0.0403614672843823	0.0286277493091737	17.8885333528581	0.000130483121539407	0.000739404355389975
PWY0-1296	5181.41290046048	-0.396495538221918	0.0949340336087152	17.7713098200812	0.000138359538411705	0.000772836850271096
PWY-7094	31520.8836747904	-0.0238579200160076	0.0276930392748563	17.5476588174969	0.000154729920579312	0.000852104210514241
PWY-7211	18884.6189589647	-0.021367734792295	0.00936446565589781	17.1350604772788	0.000190181773857746	0.0010327926885886
ARGDEG-PWY	15.6433416064744	0.132267848841347	1.68177957721312	16.377768782589	0.0002777235422814	0.00146743114908145
ORNARGDEG-PWY	15.6433416064744	0.132267848841347	1.68177957721312	16.377768782589	0.0002777235422814	0.00146743114908145
PWY-7199	11757.1418800395	-0.0757706706541281	0.0317348027106165	16.3053021617201	0.000287970912595842	0.00150128835766632
OANTIGEN-PWY	18006.0291133169	-0.00216907600237309	0.00880025947336617	16.0352035428737	0.000329609554745489	0.00168989313350695
PWY-5855	15909.3639121997	-0.124008460667773	0.0474846329365376	15.9395418239386	0.000345758185883774	0.00168989313350695
PWY-5856	15909.3639121997	-0.124008460667773	0.0474846329365376	15.9395418239386	0.000345758185883774	0.00168989313350695
PWY-5857	15909.3639121997	-0.124008460667773	0.0474846329365376	15.9395418239386	0.000345758185883774	0.00168989313350695
PWY-6708	15909.3639121997	-0.124008460667773	0.0474846329365376	15.9395418239386	0.000345758185883774	0.00168989313350695
PWY-6628	16866.4964016387	-0.0349716458795521	0.0204854423163554	15.7561642397005	0.000378959158519692	0.00182929667878024
PWY0-1533	3941.93205177132	-0.403933397930887	0.10419993326472	15.5668893904044	0.000416574727284009	0.00198635022400058
1CMET2-PWY	17478.7203425691	-0.0483298893171374	0.0144292883283817	15.0517292447562	0.000538962467867798	0.00253896777031697
COBALSYN-PWY	12522.9945071639	-0.0562972493845744	0.025190715246351	14.8884645143041	0.00058480490788247	0.00272212760692911
PWY-6545	10444.6350813863	0.349004085302092	0.0934863668613646	14.8312007784388	0.00060179097580522	0.00276823848870401
GLYCOLYSIS-E-D	17788.412462021	0.0593338282505059	0.016939256720077	14.8051995948966	0.000609665691684368	0.00277185215637893
PWY-1622	1027.52837904344	-0.598283249048498	0.182144291571988	14.7260127625453	0.0006342886766103	0.00281825991539349
TCA	25796.5076739565	-0.00578036971811916	0.00874072933104653	14.7284155474404	0.00063352710454973	0.00281825991539349
ECASYN-PWY	6.59816216389749	0.284024580987088	1.80150433497499	14.6070838348628	0.000673150305009483	0.00295732325009784
UBISYN-PWY	14860.2345440548	-0.122095726605343	0.0469808445944292	14.5637480421203	0.000687895224870791	0.00298852258804977
PWY-6612	15769.6657387546	-0.04471036939802	0.013552770459795	14.4272367509977	0.000736487440250559	0.00316446801250515
GLYCOLYSIS	19115.782058471	0.0504329995382544	0.013688842314777	14.3901031811963	0.000750289376438282	0.0031887298498627
PWY-6507	4410.87867164513	-0.384657734382149	0.108884344558815	14.3036024378243	0.000783451641722517	0.0032938665797151
HISDEG-PWY	14301.6039253751	-0.0748252519545992	0.0387053684070752	13.8533690772145	0.000981248773693792	0.00408157734589652
P124-PWY	12245.8057667667	0.238703050053717	0.0673007413276841	13.7931195853673	0.00101125839028293	0.00416212663790133
PWY-6901	8734.62551704455	-0.0122025238611086	0.0529626121758476	13.6154723293802	0.00110519204283724	0.00450135509113916
PHOSLIPSYN-PWY	22259.5548247179	-0.0330242865337156	0.0144419980147358	13.582615326714	0.00112349865515096	0.00452874200169096
DENITRIFICATION-PWY	899.112426343225	0.362623083528695	0.150407849054538	13.4914988987807	0.00117586709612621	0.00469146974066681
PWY-5667	24318.0809829126	-0.0629078807224328	0.0251704382156769	13.3636307664109	0.00125350032235067	0.00490118626039111
PWY0-1319	24318.0809829126	-0.0629078807224328	0.0251704382156769	13.3636307664109	0.00125350032235067	0.00490118626039111
ANAGLYCOLYSIS-PWY	19226.515488246	0.0439338704958395	0.013626460820011	13.0907104198424	0.00143677363567333	0.00556216328265614
GLUCONEO-PWY	19513.5281501752	0.00997625550155552	0.00940608492935869	12.7141656850321	0.00173441891235259	0.00664860583068494
GLYCOCAT-PWY	12973.2945816629	0.11447170096471	0.0334596959617309	12.5043822969857	0.00192622885535598	0.00724187963888642
PWY-5705	2308.37628603762	-0.293366971644126	0.0893082735068792	12.5173584078934	0.00191377183035816	0.00724187963888642
PANTO-PWY	18675.1212766717	-0.00872144397425813	0.00851310623411964	12.3304123647363	0.0021012850719902	0.00782478536331591
P184-PWY	3261.81894161168	-0.231185031647197	0.116922737534423	12.1875506176626	0.0022568724206219	0.00832487845719965
ANAEROFRUCAT-PWY	18838.6159092731	0.0425073158215137	0.0130187336518236	12.0037658877896	0.00247408921681218	0.00887494388783085
PWY-5531	2749.83943244538	0.654318293425322	0.201169729026354	12.0109294888295	0.0024652433742479	0.00887494388783085
PWY-7159	2749.83943244538	0.654318293425322	0.201169729026354	12.0109294888295	0.0024652433742479	0.00887494388783085
FOLSYN-PWY	17035.1134573211	-0.0340709740339325	0.0118426633749559	11.9323790093954	0.00256399291112924	0.0091138293477412
PWY-5028	9359.06261193471	-0.132121512009863	0.0873190074432135	11.7003369410478	0.00287941402083512	0.0101428007400588
FERMENTATION-PWY	9323.19551802403	0.0920768802027042	0.050869315403896	11.6347867039929	0.0029753507374381	0.0103871619494491
PWY0-1479	13476.9380115434	-0.0298762209062186	0.0302662606876008	11.5871351962218	0.00304709196249157	0.0105434774985328
P125-PWY	959.971323401745	0.271910559343197	0.246715744083827	11.5632129295808	0.00308375747912136	0.0105767471433022
PWY-4984	11050.523603087	-0.0780365412005257	0.0260921240650283	11.2985594311313	0.00352005130017272	0.0119681744205872
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	12715.622205115	-0.0725159935970409	0.0392223283538202	11.222368427535	0.00365673643505351	0.0122203756077429
PWY-6185	1398.79681090586	-0.130479521184696	0.112371577595917	11.225142173535	0.00365166852111243	0.0122203756077429
PWY-7328	10375.5020198705	-0.0597779850758641	0.0307643054867839	11.1719875315574	0.00375002127463961	0.0124259179524075
PWY-5345	17612.5024544421	-0.0424075904285308	0.0136307240886059	11.0430737812932	0.00399969612040596	0.0131418586813339
PWY0-1586	23764.9650458542	-0.0611925699525082	0.0484743263053907	10.7383725525883	0.00465792002853642	0.0151770560929812
PWY-3661	2436.69898473419	-0.433990793257941	0.168704052796229	10.4701409772204	0.0053264490165991	0.0172119137643822
PWY-5181	2290.58919299394	-0.155361300044576	0.116030103272037	10.3565774024979	0.00563764586038543	0.0180681928804156
BRANCHED-CHAIN-AA-SYN-PWY	26544.9427712881	-0.00146330475397452	0.0080326476669681	10.2321386779295	0.00599955884095523	0.0190717683480772
PENTOSE-P-PWY	18744.6952315311	0.0789826895477127	0.0341043863016514	9.98339932635957	0.00679410697960078	0.0214233534598702
ARGSYNBSUB-PWY	18815.6027716794	-0.00627400396939505	0.011619371436515	9.79954042036076	0.00744829441652238	0.023298264934882
PWY-7616	3033.14660962254	0.264228546081351	0.180509581933299	9.52576252903521	0.00854096513144315	0.0265041060824942
DTDPRHAMSYN-PWY	19885.0602980828	-0.00597167346030179	0.0177119041500137	9.4883696762393	0.00870215277856104	0.0267916672158848
DHGLUCONATE-PYR-CAT-PWY	13.9086376498733	5.52427572175169	2.14246074159299	9.34554133055443	0.00934633804557526	0.0285501419985932
PWY-6897	17237.9156992776	-0.00800207474947047	0.011147339833621	9.32763203677237	0.00943040704483879	0.0285836368568369
PWY-5676	3288.01492971685	-0.263964586863849	0.0999900144381767	9.10239546486571	0.0105545552770724	0.0317448547179639
BIOTIN-BIOSYNTHESIS-PWY	15059.2184107559	-0.0888253030850785	0.0504920554289146	9.0554101359707	0.0108054454024948	0.0322513675753853
PWY0-321	2582.94743315427	-0.176232417217165	0.115790079676017	8.97344408730817	0.0112574849389888	0.0333460349329138
P122-PWY	6159.93722936907	-0.0275918568351844	0.0889736452323579	8.93207476494558	0.0114927671785747	0.0337870072693437
NAD-BIOSYNTHESIS-II	4723.10914771469	-0.157376641361763	0.115654220469943	8.90640680919876	0.0116412156528805	0.0339680247781811
PWY-5484	18671.9359434636	0.0437242117999689	0.0150266631438942	8.89090743790234	0.0117317818914272	0.0339787164410964
PWY-5973	26498.2476060599	-0.0699034285426952	0.0260617680993421	8.77098983787334	0.0124567215410971	0.0358130744306542
PWY-5100	2649.57903558135	-0.155754530909915	0.133006236177865	8.725285112265	0.0127446646200125	0.0363734588790139
PWY-5384	6674.53866259749	-0.222170193039614	0.11281205881236	8.57721205976895	0.0137240428752354	0.0386050414691873
PWY-621	6674.53866259749	-0.222170193039614	0.11281205881236	8.57721205976895	0.0137240428752354	0.0386050414691873
PWY-6147	17179.0918320911	0.0296302147770684	0.0108676024661887	8.47264209145396	0.0144606943356145	0.0403866534658947
PWY-7663	25787.6625648869	-0.0801855677086316	0.0312251850007662	8.43196835084558	0.0147577903629651	0.0409240853327615
PWY-7208	21503.6557005892	0.0236081341177098	0.00826770009802583	8.32932939527356	0.0155349229232941	0.0427757384718872
PWY-6992	1576.81266269466	-0.414190015339986	0.177183920832718	7.84456590313908	0.0197958501512404	0.0541271147491957
P381-PWY	1645.02731807451	0.878478078290639	0.371432269779653	7.72046935942501	0.0210630558710804	0.0571920475388364
PWY-6519	15562.1709881478	-0.121740829950253	0.06885974770864	7.70249586010749	0.0212531973786292	0.0573103460347864
PWY-5101	32389.5693732122	-0.00625296699531853	0.00746432458219157	7.64433636877186	0.0218803088830685	0.0585972655704096
PWY-6263	3703.72839150717	0.31550881678255	0.186385300549563	7.60141627882996	0.0223549358385866	0.0594610878427712
