Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
1CMET2-PWY	17478.7203425691	-0.048907734055431	0.0145862371242679	15.0517292445739	0.000538962467916931	0.00253896777054843	Not Significant
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	2232.37197641301	0.0421197835612995	0.0994798942619795	0.335330474411478	0.845636875069549	0.884788178369258	Not Significant
AEROBACTINSYN-PWY	20.8125608688623	-2.09315639964237	1.39817243001951	2.56615114963623	0.277183489586053	0.394104525193261	Not Significant
ALL-CHORISMATE-PWY	4304.52475092211	0.720099427030954	0.0979351735935077	57.6471990749682	3.03437863803864e-13	1.07858367952101e-11	Not Significant
ANAEROFRUCAT-PWY	18838.6159092731	0.00828768393295053	0.0131936501159145	12.0037658877026	0.00247408921691977	0.00887494388821678	Not Significant
ANAGLYCOLYSIS-PWY	19226.515488246	0.0418544443859734	0.0137750671857529	13.0907104198103	0.0014367736356964	0.00556216328274546	Not Significant
ARG+POLYAMINE-SYN	10769.0650208494	-0.0381511586618984	0.0295227915748352	3.92790736428418	0.140302610969643	0.231469708392955	Not Significant
ARGDEG-PWY	15.6433416064744	5.59558602859632	1.5898853830694	16.377768782589	0.0002777235422814	0.00146743114908145	Up
ARGORNPROST-PWY	4151.21489913442	0.27171318518639	0.126566465487518	5.619384085494	0.0602235358115911	0.130096146421724	Not Significant
ARGSYN-PWY	15071.22871131	0.0819143687537765	0.0343482276414039	5.79264604601559	0.0552259115882728	0.121996222774094	Not Significant
ARGSYNBSUB-PWY	18815.6027716794	-0.0348135672400399	0.0118136586487155	9.79954042008004	0.00744829441756782	0.0232982649381521	Not Significant
ARO-PWY	18832.1113126822	0.00986921667974575	0.00825619884681431	2.64069384898036	0.267042642261296	0.38246766712149	Not Significant
ASPASN-PWY	4551.70042678195	0.519933967573996	0.107402512073705	23.3204106496361	8.63052409899262e-06	6.4894902359733e-05	Not Significant
AST-PWY	1179.09637664518	-0.488876906379973	0.247252584950241	5.46827957718313	0.0649498536856089	0.136534369844479	Not Significant
BIOTIN-BIOSYNTHESIS-PWY	15059.2184107559	-0.15112919487434	0.0505560601554838	9.05541013597082	0.0108054454024942	0.0322513675753834	Not Significant
BRANCHED-CHAIN-AA-SYN-PWY	26544.9427712881	-0.0235792314287231	0.00822594397728481	10.232138676981	0.00599955884380066	0.0190717683571224	Not Significant
CALVIN-PWY	20081.363372289	-0.0173510110355563	0.00841761777825496	4.39619652666826	0.111014077283841	0.199112404669642	Not Significant
CATECHOL-ORTHO-CLEAVAGE-PWY	2894.39045121371	0.136499371279384	0.12192016195381	1.38230989437744	0.500997109593322	0.617949116249176	Not Significant
CENTFERM-PWY	501.078939144706	1.25912064766247	0.395103561333421	29.8556961198067	3.28789516004651e-07	3.22866219359314e-06	Up
CHLOROPHYLL-SYN	2103.32475600177	0.979249134356208	0.169647181961825	39.8939391633501	2.17340759305726e-09	3.39920947554156e-08	Not Significant
COA-PWY	17346.4513153991	-0.000846334615081725	0.00908793857812697	0.568780074231881	0.752473095026475	0.835843693623159	Not Significant
COBALSYN-PWY	12522.9945071639	-0.0972062913764739	0.0253340212488361	14.8884645142841	0.000584804907888304	0.00272212760695627	Not Significant
CODH-PWY	183.868823425455	0.366511496171905	0.291278985656355	1.67353500681105	0.433108284137123	0.558083901304062	Not Significant
COLANSYN-PWY	12009.9873166926	0.0525157943199825	0.0364773713760045	2.14357927706038	0.342395205127098	0.464849045849636	Not Significant
COMPLETE-ARO-PWY	19688.3974267171	0.00970414030735513	0.00829788767451609	1.96846727711406	0.373725526051767	0.499636317243233	Not Significant
CRNFORCAT-PWY	48.9808175879986	1.95806461993066	0.925522665979819	5.39439205496603	0.0673942195912359	0.139363050927988	Not Significant
DAPLYSINESYN-PWY	19290.5416601819	-0.058632872079989	0.00940930384694144	38.9731726151324	3.44415823068868e-09	4.98765136370101e-08	Not Significant
DENITRIFICATION-PWY	899.112426343225	0.549488642082095	0.150520230926822	13.491498898781	0.00117586709612601	0.00469146974066601	Not Significant
DENOVOPURINE2-PWY	6950.39525777226	-0.157029696643248	0.131357946664572	1.5081806967072	0.470438355177959	0.589555759213404	Not Significant
DHGLUCONATE-PYR-CAT-PWY	13.9086376498733	7.55792767661515	2.13621073378403	9.34554133055445	0.00934633804557513	0.0285501419985928	Up
DTDPRHAMSYN-PWY	19885.0602980828	-0.0504208161814422	0.0178398036357341	9.48836967625101	0.00870215277851009	0.0267916672157279	Not Significant
ECASYN-PWY	6.59816216389749	5.28339984232414	1.65146679373123	14.6070838348628	0.000673150305009483	0.00295732325009784	Up
ENTBACSYN-PWY	3973.72243248478	0.00441047905940291	0.132769629968316	0.428628986986951	0.807094519130302	0.866961420274583	Not Significant
FAO-PWY	28983.5684726892	-0.119542077023001	0.0286883425443883	17.8885333528513	0.000130483121539852	0.000739404355392497	Not Significant
FASYN-ELONG-PWY	25322.2066889424	-0.0116778625178458	0.0255582498300886	6.58736178774348	0.0371169739967277	0.0901412225634815	Not Significant
FASYN-INITIAL-PWY	19380.6123262194	-0.0665590759352488	0.0601712617442355	1.22349305258052	0.542402720720854	0.660683687856243	Not Significant
FERMENTATION-PWY	9323.19551802403	0.173739723017915	0.050929856372809	11.6347867039941	0.00297535073743632	0.0103871619494429	Not Significant
FOLSYN-PWY	17035.1134573211	-0.037088345410539	0.0120382465856597	11.9323790095055	0.00256399291098819	0.00911382934723984	Not Significant
FUC-RHAMCAT-PWY	38.8197324893438	0.971424694470461	1.95464290933849	0.641869018638516	0.725470761008389	0.815112263087012	Not Significant
FUCCAT-PWY	140.669307959915	-0.763797491960151	0.545779341371669	5.68215737918345	0.0583626767857287	0.126776703462333	Not Significant
GALACT-GLUCUROCAT-PWY	2684.79274582943	-0.302102536954165	0.0838547407299977	28.9536544483483	5.16171261616769e-07	4.69355728586411e-06	Not Significant
GALACTARDEG-PWY	2779.84839559195	-0.263356907226288	0.118818575681719	6.63794742598662	0.036189953981302	0.0895586835866398	Not Significant
GALACTUROCAT-PWY	4116.10053828798	-0.00765396534428032	0.0529284439181986	36.7363198397723	1.05392450884377e-08	1.42098097571694e-07	Not Significant
