Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
1CMET2-PWY	17478.7203425691	-0.04832988931714	0.0144292883284693	15.0517292445739	0.000538962467916931	0.00253896777054843	Not Significant
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	2232.37197641301	0.0550943941736848	0.0992961683810244	0.335330474411478	0.845636875069549	0.884788178369258	Not Significant
AEROBACTINSYN-PWY	20.8125608688623	-1.56846344333441	1.39142208082562	2.56615114963623	0.277183489586053	0.394104525193261	Not Significant
ALL-CHORISMATE-PWY	4304.52475092211	0.23095201174977	0.0979792187958891	57.6471990749682	3.03437863803864e-13	1.07858367952101e-11	Not Significant
ANAEROFRUCAT-PWY	18838.6159092731	0.0425073158215074	0.0130187336518705	12.0037658877026	0.00247408921691977	0.00887494388821678	Not Significant
ANAGLYCOLYSIS-PWY	19226.515488246	0.04393387049584	0.0136264608200278	13.0907104198103	0.0014367736356964	0.00556216328274546	Not Significant
ARG+POLYAMINE-SYN	10769.0650208494	-0.0571853169320329	0.0294042942623615	3.92790736428418	0.140302610969643	0.231469708392955	Not Significant
ARGDEG-PWY	15.6433416064744	0.132267848841347	1.68177957721312	16.377768782589	0.0002777235422814	0.00146743114908145	Not Significant
ARGORNPROST-PWY	4151.21489913442	0.25213658198489	0.126499464095227	5.619384085494	0.0602235358115911	0.130096146421724	Not Significant
ARGSYN-PWY	15071.22871131	0.0510725366781209	0.0342800209050224	5.79264604601559	0.0552259115882728	0.121996222774094	Not Significant
ARGSYNBSUB-PWY	18815.6027716794	-0.00627400396940556	0.0116193714366868	9.79954042008004	0.00744829441756782	0.0232982649381521	Not Significant
ARO-PWY	18832.1113126822	0.0123799572443244	0.00800281552638061	2.64069384898036	0.267042642261296	0.38246766712149	Not Significant
ASPASN-PWY	4551.70042678195	0.290518031050764	0.107380826651462	23.3204106496361	8.63052409899262e-06	6.4894902359733e-05	Not Significant
AST-PWY	1179.09637664518	-0.495400407828998	0.247101195771952	5.46827957718313	0.0649498536856089	0.136534369844479	Not Significant
BIOTIN-BIOSYNTHESIS-PWY	15059.2184107559	-0.0888253030850755	0.0504920554289141	9.05541013597082	0.0108054454024942	0.0322513675753834	Not Significant
BRANCHED-CHAIN-AA-SYN-PWY	26544.9427712881	-0.00146330475399257	0.00803264766735543	10.232138676981	0.00599955884380066	0.0190717683571224	Not Significant
CALVIN-PWY	20081.363372289	-0.00563436137873318	0.00817621302832552	4.39619652666826	0.111014077283841	0.199112404669642	Not Significant
CATECHOL-ORTHO-CLEAVAGE-PWY	2894.39045121371	0.107629704695923	0.12182059403228	1.38230989437744	0.500997109593322	0.617949116249176	Not Significant
CENTFERM-PWY	501.078939144706	-0.900366119758489	0.396503721619368	29.8556961198067	3.28789516004651e-07	3.22866219359314e-06	Not Significant
CHLOROPHYLL-SYN	2103.32475600177	0.958032544348477	0.169560238157694	39.8939391633501	2.17340759305726e-09	3.39920947554156e-08	Not Significant
COA-PWY	17346.4513153991	0.00533822355252681	0.00883432015505496	0.568780074231881	0.752473095026475	0.835843693623159	Not Significant
COBALSYN-PWY	12522.9945071639	-0.0562972493845682	0.0251907152463681	14.8884645142841	0.000584804907888304	0.00272212760695627	Not Significant
CODH-PWY	183.868823425455	0.271179619137265	0.290792055283236	1.67353500681105	0.433108284137123	0.558083901304062	Not Significant
COLANSYN-PWY	12009.9873166926	0.0348020206544877	0.036392717523769	2.14357927706038	0.342395205127098	0.464849045849636	Not Significant
COMPLETE-ARO-PWY	19688.3974267171	0.0100759547021286	0.00805818076746046	1.96846727711406	0.373725526051767	0.499636317243233	Not Significant
CRNFORCAT-PWY	48.9808175879986	0.3709171190438	0.928751039728005	5.39439205496603	0.0673942195912359	0.139363050927988	Not Significant
DAPLYSINESYN-PWY	19290.5416601819	-0.0305806889482336	0.00917096076715167	38.9731726151324	3.44415823068868e-09	4.98765136370101e-08	Not Significant
DENITRIFICATION-PWY	899.112426343225	0.362623083528693	0.150407849054536	13.491498898781	0.00117586709612601	0.00469146974066601	Not Significant
DENOVOPURINE2-PWY	6950.39525777226	-0.108498040005009	0.131306322828813	1.5081806967072	0.470438355177959	0.589555759213404	Not Significant
DHGLUCONATE-PYR-CAT-PWY	13.9086376498733	5.52427572175169	2.14246074159299	9.34554133055445	0.00934633804557513	0.0285501419985928	Up
DTDPRHAMSYN-PWY	19885.0602980828	-0.00597167346030807	0.0177119041500024	9.48836967625101	0.00870215277851009	0.0267916672157279	Not Significant
ECASYN-PWY	6.59816216389749	0.284024580987088	1.80150433497499	14.6070838348628	0.000673150305009483	0.00295732325009784	Not Significant
ENTBACSYN-PWY	3973.72243248478	0.0771293055260302	0.132678262342082	0.428628986986951	0.807094519130302	0.866961420274583	Not Significant
FAO-PWY	28983.5684726892	-0.040361467284379	0.0286277493091793	17.8885333528513	0.000130483121539852	0.000739404355392497	Not Significant
FASYN-ELONG-PWY	25322.2066889424	-0.061735591803288	0.0255060787968897	6.58736178774348	0.0371169739967277	0.0901412225634815	Not Significant
FASYN-INITIAL-PWY	19380.6123262194	-0.0329881504303505	0.0601332500472854	1.22349305258052	0.542402720720854	0.660683687856243	Not Significant
FERMENTATION-PWY	9323.19551802403	0.0920768802026988	0.0508693154038934	11.6347867039941	0.00297535073743632	0.0103871619494429	Not Significant
FOLSYN-PWY	17035.1134573211	-0.0340709740339336	0.0118426633749015	11.9323790095055	0.00256399291098819	0.00911382934723984	Not Significant
FUC-RHAMCAT-PWY	38.8197324893438	-0.5621198967708	1.95675574643638	0.641869018638516	0.725470761008389	0.815112263087012	Not Significant
FUCCAT-PWY	140.669307959915	-1.28734151782559	0.546211981418112	5.68215737918345	0.0583626767857287	0.126776703462333	Not Significant
GALACT-GLUCUROCAT-PWY	2684.79274582943	-0.436459229015817	0.0837419984257112	28.9536544483483	5.16171261616769e-07	4.69355728586411e-06	Not Significant
GALACTARDEG-PWY	2779.84839559195	0.00907894905610078	0.118588630341907	6.63794742598662	0.036189953981302	0.0895586835866398	Not Significant
GALACTUROCAT-PWY	4116.10053828798	-0.284613573495866	0.052901685867602	36.7363198397723	1.05392450884377e-08	1.42098097571694e-07	Not Significant
GALLATE-DEGRADATION-I-PWY	3509.6977815717	-0.159015090899943	0.12232460295447	6.46219624002089	0.0395140837492404	0.0947853174598344	Not Significant
GALLATE-DEGRADATION-II-PWY	1231.49735736069	0.213172599630961	0.253348711196096	0.93924955191676	0.625236828163329	0.73857280909928	Not Significant
GLCMANNANAUT-PWY	427.832879465909	-0.453641566748817	0.211871409194123	5.01219660086645	0.0815859428837732	0.157921305284927	Not Significant
GLUCARDEG-PWY	2898.79326838983	0.0315132780888339	0.113589885165414	6.60912671132803	0.0367152398383835	0.0901412225634815	Not Significant
GLUCARGALACTSUPER-PWY	2779.84839559195	0.00907894905610078	0.118588630341907	6.63794742598662	0.036189953981302	0.0895586835866398	Not Significant
GLUCONEO-PWY	19513.5281501752	0.00997625550155446	0.0094060849292594	12.7141656852936	0.00173441891212586	0.00664860582981579	Not Significant
GLUCOSE1PMETAB-PWY	6526.50027801805	-0.14715808962718	0.101920748195738	2.99488640178191	0.223701389090736	0.333844439444572	Not Significant
GLUCUROCAT-PWY	3387.83298690091	-0.340628047591471	0.0690990015072234	24.264154518293	5.38400918767119e-06	4.12774037721458e-05	Not Significant
GLUTORN-PWY	18974.7242800634	-0.0024389032556226	0.00911933739399366	4.1843059348555	0.123421127898752	0.213657192189308	Not Significant
GLYCOCAT-PWY	12973.2945816629	0.114471700964712	0.0334596959617207	12.5043822969935	0.00192622885534853	0.00724187963885843	Not Significant
GLYCOGENSYNTH-PWY	13551.0723745264	0.0540509443833523	0.0319973767758034	5.54348412790017	0.0625529385503749	0.132924994419547	Not Significant
GLYCOL-GLYOXDEG-PWY	16.5979733588112	-0.317136556607686	2.00872582844888	0.77075699823672	0.680193134973765	0.78222210521983	Not Significant
GLYCOLYSIS	19115.782058471	0.0504329995382611	0.0136888423147405	14.3901031812735	0.000750289376409324	0.00318872984973962	Not Significant
GLYCOLYSIS-E-D	17788.412462021	0.0593338282505046	0.0169392567200781	14.8051995948945	0.000609665691685026	0.00277185215638192	Not Significant
GLYCOLYSIS-TCA-GLYOX-BYPASS	18493.3445094453	-0.0176590885969342	0.0119010297186601	20.0967686687046	4.32555791874478e-05	0.000268459229560192	Not Significant
GLYOXYLATE-BYPASS	16727.7649363526	-0.0536708399674883	0.0142879727858993	65.1910802437572	6.98130786919429e-15	2.72969137685497e-13	Not Significant
GOLPDLCAT-PWY	24.4736055035163	-0.303119021105634	1.26447529322576	0.099404141235425	0.951512865916236	0.953952642495508	Not Significant
HCAMHPDEG-PWY	182.704864279559	0.252463228675583	0.558766933049343	0.290646676784178	0.864742643406545	0.894482469767088	Not Significant
HEME-BIOSYNTHESIS-II	13325.4766429456	-0.0641807632121403	0.0429881437950468	3.52979198825892	0.171204591841609	0.271016175749268	Not Significant
HEMESYN2-PWY	18507.0603334742	-0.0011224662487744	0.0100528632572843	0.44574570670531	0.800216587682843	0.861941283151492	Not Significant
HEXITOLDEGSUPER-PWY	1346.10718773787	-0.29158978912772	0.197358616839751	6.39598710368938	0.0408440733331869	0.0967880768077339	Not Significant
HISDEG-PWY	14301.6039253751	-0.0748252519546013	0.0387053684070585	13.8533690772264	0.000981248773687963	0.00408157734587227	Not Significant
HISTSYN-PWY	16805.4338357088	-0.0110593151566596	0.0203574987259492	0.341056450235328	0.843219289329074	0.884788178369258	Not Significant
HOMOSER-METSYN-PWY	9978.11370687142	0.134034871949931	0.100060307090894	2.19744794111313	0.333296108115912	0.454072398164884	Not Significant
HSERMETANA-PWY	19524.4442046303	-0.0482827530626792	0.021942040897634	31.5640576565411	1.39943253552997e-07	1.47885978754653e-06	Not Significant
ILEUSYN-PWY	31549.3268232462	0.000722515062774117	0.00994161004878989	2.47255210638713	0.290463878424679	0.40416859951619	Not Significant
KDO-NAGLIPASYN-PWY	42.4245792561384	1.88348356658556	1.99059106283727	2.836523777483	0.242134508075509	0.355919521268887	Not Significant
KETOGLUCONMET-PWY	3608.85864763154	-0.00511536651480606	0.0901520800993046	1.32526707993026	0.515491976593617	0.633143367499001	Not Significant
LACTOSECAT-PWY	6.26043992276961	3.65060917983049	3.65001271217158	2.90057782840938	0.234502527194583	0.347375237412531	Not Significant
LEU-DEG2-PWY	16447.1598605431	-0.0884338731674192	0.0381132598055193	31.9796414489761	1.13686551415923e-07	1.27004118867502e-06	Not Significant
LIPASYN-PWY	78.5042801322014	-1.89343139781897	0.927754055521708	3.94406905837468	0.139173415602577	0.230579684324608	Not Significant
LPSSYN-PWY	2.66439707660496	-0.210209216713941	2.11121121691555	0.889890228859642	0.640859449003329	0.749612968316222	Not Significant
MET-SAM-PWY	13318.3602623807	0.0953703944430691	0.0614480651831561	3.30640061367802	0.191436272420564	0.295856057377236	Not Significant
METH-ACETATE-PWY	9.10553704720772	-3.00141227662668	2.75002229219381	1.871948835086	0.392203509294576	0.516335259711041	Not Significant
METHANOGENESIS-PWY	1.17482133914107	2.94908312431523	3.66209913749046	1.26504996761666	0.531248711685876	NA	Not Significant
METHGLYUT-PWY	23.7569376130993	-0.543345275285847	1.66099050537761	1.86212466270385	0.394134786152619	0.517136581831121	Not Significant
METHYLGALLATE-DEGRADATION-PWY	4025.25525492843	-0.1041175265565	0.106950500790536	5.41132920798918	0.0668258963272344	0.138983646084833	Not Significant
NAD-BIOSYNTHESIS-II	4723.10914771469	-0.157376641361761	0.115654220469946	8.90640680919836	0.0116412156528828	0.0339680247781878	Not Significant
NADSYN-PWY	4677.49321402643	0.00930630314357355	0.134224480978201	0.481498508853065	0.786038697403919	0.853725363013701	Not Significant
NAGLIPASYN-PWY	10926.3796247878	-0.0793121404816882	0.0656332419785972	2.39010731938293	0.302687711617145	0.418201043259024	Not Significant
NONMEVIPP-PWY	16038.8954099248	-0.000107173670808297	0.0176474721485241	5.23486560983457	0.0729900020876097	0.145795554083689	Not Significant
NONOXIPENT-PWY	23676.2016413906	0.00503475605190027	0.0145884773682802	0.217633300995715	0.896894847647472	0.920435394829821	Not Significant
OANTIGEN-PWY	18006.0291133169	-0.00216907600237752	0.00880025947349778	16.035203542421	0.000329609554820101	0.00168989313350589	Not Significant
ORNARGDEG-PWY	15.6433416064744	0.132267848841347	1.68177957721312	16.377768782589	0.0002777235422814	0.00146743114908145	Not Significant
ORNDEG-PWY	831.025924584912	-1.25062037490647	2.61047479099806	0.375574564327366	0.828790987108616	0.87820399989016	Not Significant
P101-PWY	3597.43176250571	0.0655581022652246	0.119037439428565	0.40925451076572	0.814951028413465	0.870172562663339	Not Significant
P105-PWY	23676.3490289069	-0.0286585759937863	0.00942177702558303	46.1131923063626	9.69722604388182e-11	2.10645299064322e-09	Not Significant
P108-PWY	17135.918405898	0.0472273161788339	0.0418291444984359	2.57309381838866	0.276222961132397	0.394104525193261	Not Significant
P122-PWY	6159.93722936907	-0.0275918568351886	0.0889736452323581	8.93207476494553	0.011492767178575	0.0337870072693447	Not Significant
P124-PWY	12245.8057667667	0.238703050053715	0.0673007413276931	13.7931195853636	0.00101125839028483	0.00416212663790914	Not Significant
P125-PWY	959.971323401745	0.271910559343196	0.246715744083827	11.5632129295807	0.00308375747912158	0.010576747143303	Not Significant
P161-PWY	7210.40786381466	0.247066229857187	0.137437421846495	7.52361180556812	0.0232417301479408	0.0614021384313841	Not Significant
P162-PWY	1.4648009814123	4.6250216789734	3.64050738420322	2.98990803324385	NA	NA	Not Significant
P163-PWY	2272.20287313391	-0.0773927322198501	0.136022597557236	0.780886645596297	0.676756786272947	0.78056608682219	Not Significant
P164-PWY	983.30215100651	0.860744656242842	0.235074243198615	21.5577867142944	2.0834644473399e-05	0.00013577243315165	Not Significant
P184-PWY	3261.81894161168	-0.231185031647196	0.116922737534424	12.1875506176624	0.00225687242062209	0.00832487845720036	Not Significant
P221-PWY	5167.53159753317	-0.230167897263218	0.0807768867169683	42.5431721046847	5.77919776228039e-10	1.08107267793937e-08	Not Significant
P23-PWY	6361.06466269501	0.0528750552388592	0.179775240181319	4.86094174141965	0.0879953883747212	0.167020373080175	Not Significant
P241-PWY	231.72870561957	0.552920444783267	0.345660298776687	2.55035349921448	0.279381583272037	0.395790576302053	Not Significant
P261-PWY	130.095887531409	0.222711297329671	0.631949634216319	4.94210746894328	0.0844957759630332	0.16195023726248	Not Significant
P281-PWY	3926.85070617701	-0.0614874004304741	0.135453492869611	1.54635752406648	0.461543596736372	0.582140472012649	Not Significant
P381-PWY	1645.02731807451	0.878478078290637	0.371432269779653	7.72046935942501	0.0210630558710804	0.0571920475388364	Not Significant
P4-PWY	15627.7520485026	0.0383526762129918	0.0319024539021872	1.96305627192265	0.374738010454577	0.499636317243233	Not Significant
P42-PWY	11057.5799202852	-0.0413912368218568	0.0583491183483576	5.23228570776104	0.0730842163693173	0.145795554083689	Not Significant
P441-PWY	1259.40282433775	-0.331293621806135	0.183113960002721	4.41089074561904	0.110201433651134	0.19856571685527	Not Significant
P461-PWY	832.500154176345	-0.810414935433596	0.323753951915622	23.0833083948273	9.71680013981956e-06	6.90776155394445e-05	Not Significant
P562-PWY	4458.31891336933	-0.0916576840980215	0.0899888095667914	1.18918536233485	0.551787273448958	0.670027403473735	Not Significant
P621-PWY	41.2565895163538	-0.290845436656392	0.974939839309958	0.119255796206147	0.942115031160016	0.953952642495508	Not Significant
PANTO-PWY	18675.1212766717	-0.00872144397425339	0.00851310623413485	12.3304123646949	0.00210128507203371	0.00782478536347792	Not Significant
PANTOSYN-PWY	17697.9940669497	0.00402485284312926	0.00781859474563532	2.7627362153828	0.251234601841126	0.366540034775673	Not Significant
PENTOSE-P-PWY	18744.6952315311	0.0789826895477097	0.0341043863016526	9.98339932635895	0.0067941069796029	0.0214233534598769	Not Significant
PEPTIDOGLYCANSYN-PWY	17801.0543166193	0.0112572658004896	0.00833822486039322	1.87719706391474	0.391175671584153	0.516335259711041	Not Significant
PHOSLIPSYN-PWY	22259.5548247179	-0.0330242865337219	0.0144419980147204	13.5826153267427	0.00112349865513486	0.00452874200162609	Not Significant
POLYAMINSYN3-PWY	4876.8027773683	0.282671580388301	0.0856298861393171	32.963730428152	6.95051341754552e-08	7.99309043017735e-07	Not Significant
POLYAMSYN-PWY	8549.2609102512	-0.107573312463811	0.0563484624630954	5.36887715193222	0.0682595057678165	0.139735428037781	Not Significant
POLYISOPRENSYN-PWY	18173.94345311	-0.0306713028627269	0.0154518708106399	18.1648789691117	0.000113644036157919	0.000653453207908033	Not Significant
PPGPPMET-PWY	9713.60934714106	-0.252602155902975	0.0776425588479321	23.1096887875778	9.58947520429526e-06	6.90776155394445e-05	Not Significant
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	12715.622205115	-0.0725159935970424	0.0392223283538195	11.2223684275355	0.00365673643505268	0.0122203756077401	Not Significant
PRPP-PWY	7085.07947266747	-0.190944139929868	0.0991423803380513	4.43417925996994	0.108925661938546	0.197175619527646	Not Significant
PWY-1269	10583.5243673126	-0.13992956558022	0.0649834656005363	7.39974478975864	0.0247266815202142	0.0644542164960251	Not Significant
PWY-1361	767.397295327545	-0.00331442311067658	0.223723620802217	0.927022736923021	0.62907086324433	0.740863576893171	Not Significant
PWY-1422	78.635454377398	1.99734372929106	1.35546271744261	6.30640616123921	0.0427150876409735	0.0994142813548847	Not Significant
PWY-1501	340.831422177301	-0.188584347691018	0.255512233231859	1.49691556147758	0.473095607573705	0.590991637576098	Not Significant
PWY-1622	1027.52837904344	-0.5982832490485	0.182144291571988	14.7260127625453	0.0006342886766103	0.00281825991539349	Not Significant
PWY-181	8909.68631530764	-0.0424489838717952	0.0544004312444553	4.34375589628206	0.113963398475924	0.201627551149712	Not Significant
PWY-1861	1460.11189658103	-0.559339804715219	0.27548303185413	22.5064079221864	1.29656894695522e-05	8.89400803964019e-05	Not Significant
PWY-1882	288.716888439127	-0.356219297094857	0.276763301215709	2.42835421421231	0.296954275342898	0.411734473968345	Not Significant
PWY-2221	203.023580198285	-0.0761488000196306	0.723182867509164	4.52357376074434	0.104164189415042	0.191212197470806	Not Significant
PWY-2941	847.042211619322	-1.09157782083437	0.367604648606503	46.2438820335118	9.08382179124839e-11	2.08927901198713e-09	Down
PWY-2942	21776.3721210342	-0.00685268610658336	0.0100329266748068	0.750152456384996	0.687236889968305	0.785700654905284	Not Significant
PWY-3001	21037.6495539695	0.00414169705122358	0.0081745476556485	0.49740570457115	0.779811658212607	0.849690938195978	Not Significant
PWY-3081	12.1705309166075	-3.15439886609084	2.80349866004025	1.10570404250619	0.575306681492339	0.696423877595989	Not Significant
PWY-3661	2436.69898473419	-0.433990793257939	0.168704052796231	10.4701409772201	0.00532644901659986	0.0172119137643847	Not Significant
PWY-3781	63774.8366338284	0.0471560362176042	0.0217389959370374	5.3090372389683	0.0703326873028324	0.143229587163581	Not Significant
PWY-3801	446.760743481776	2.42281660638031	1.71185060164958	4.92799931733947	0.0850939227777904	0.162301091737151	Not Significant
PWY-3941	50.9876762863817	-0.444536964240882	0.992031074332597	0.211125612019629	0.899817957096593	0.92101785660934	Not Significant
PWY-4361	523.183442009063	-1.18574502006405	0.361839038007679	34.5876383510112	3.08595622387541e-08	3.89228672108157e-07	Down
PWY-4984	11050.523603087	-0.0780365412005229	0.0260921240650345	11.2985594311259	0.00352005130018222	0.0119681744206196	Not Significant
PWY-5005	7.4229503144609	0	3.72494504855217	5.26984612952759	0.0717244873367016	0.145307122013732	Not Significant
PWY-5022	10630.0147836476	0.0398153150968344	0.0471229923458194	1.58178540916157	0.453439826740173	0.573770136748892	Not Significant
