	pielou_evenness
KO1	0.8602997152908248
KO2	0.8724565031000797
KO3	0.8429533772758023
KO4	0.850850283554479
KO5	0.8242283790271507
KO6	0.8625274529825222
OE1	0.8712451398527074
OE2	0.8604161780150964
OE3	0.8388539001891407
OE4	0.8675522754461451
OE5	0.8709992850139168
OE6	0.8725082434399785
WT1	0.8286104871512969
WT2	0.8107736195307792
WT3	0.8618733960876783
WT4	0.8507016868582707
WT5	0.8309406222163729
WT6	0.8590233506226338
