function	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
K11960	urtB; urea transport system permease protein	9102.94	7388.0	10326.31	10195.43	12706.29	10753.51	6497.17	7454.0	9245.35	7406.87	8064.450000000002	8460.84	9546.58	11363.84	9235.91	9621.95	10474.7	8879.43
K11961	urtC; urea transport system permease protein	9102.94	7388.0	10326.31	10195.43	12716.79	10753.51	6500.67	7454.0	9245.35	7406.87	8064.450000000002	8464.34	9546.58	11363.84	9235.91	9621.95	10474.7	8879.43
K11962	urtD; urea transport system ATP-binding protein	9127.94	7421.0	10359.31	10228.43	12706.29	10788.51	6519.17	7472.0	9275.35	7406.87	8084.450000000002	8491.84	9577.58	11363.84	9264.91	9654.95	10493.7	8896.43
K11963	urtE; urea transport system ATP-binding protein	9062.94	7364.0	10316.31	10169.43	12706.29	10757.51	6482.17	7425.0	9046.35	7306.87	8036.450000000002	8423.84	9483.58	11344.84	9193.91	9553.95	10454.7	8847.43
K11987	PTGS2, COX2; prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1]	50.0	43.0	14.0	0.0	11.0	84.0	68.0	80.0	55.0	46.0	56.0	95.0	19.0	44.0	22.0	14.0	83.0	19.0
K11991	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]	12948.17	14342.66	15645.98	15213.05	15267.8	14984.67	10959.35	13431.98	15419.86	11502.39	12528.87	13159.63	16675.58	18116.120000000006	15978.17	15960.73	16329.92	15512.61
K11994	DNASE1; deoxyribonuclease-1 [EC:3.1.21.1]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
K11995	DNASE1L; deoxyribonuclease-1-like protein [EC:3.1.21.-]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
K11996	MOCS3, UBA4; adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11]	7898.780000000002	11103.66	11031.89	9247.07	6828.21	8713.91	8936.72	11074.080000000002	12013.71	8606.15	9087.320000000003	10588.39	11958.41	11237.12	11792.09	11462.45	11215.27	10946.71
K12042	TNNC2; troponin C, skeletal muscle	25.0	39.0	17.0	11.0	25.0	61.0	23.0	22.0	15.0	21.0	64.0	37.0	16.0	20.0	29.0	30.0	7.0	43.0
K12055	K12055, parA; chromosome partitioning related protein ParA	81.2	48.0	59.55	76.1	257.65	59.0	116.5	264.5	76.1	409.73	169.25	338.5	42.75	20.0	98.25	79.2	228.35	113.05
K12056	traG; conjugal transfer mating pair stabilization protein TraG	318.0	151.0	280.6	244.0	468.5	325.3	104.4	129.8	81.0	115.83	115.4	134.5	135.0	179.2	146.0	199.2	191.0	176.0
K12057	traF; conjugal transfer pilus assembly protein TraF	318.0	151.0	280.6	244.0	468.5	325.3	104.4	102.8	81.0	99.83	127.4	103.5	135.0	179.2	146.0	199.2	191.0	176.0
K12058	traN; conjugal transfer mating pair stabilization protein TraN	125.0	90.0	156.6	120.0	275.5	201.3	91.4	77.8	60.0	99.83	115.4	85.5	73.0	122.2	113.0	179.20000000000005	141.0	101.0
K12059	trbC; conjugal transfer pilus assembly protein TrbC	0.0	0.0	13.6	12.0	17.5	5.3	0.4	2.8	0.0	0.0	9.2	6.5	6.0	12.2	8.0	0.4	0.0	13.0
K12060	traU; conjugal transfer pilus assembly protein TraU	318.0	151.0	280.6	244.0	468.5	325.3	104.4	102.8	81.0	99.83	127.4	103.5	135.0	179.2	146.0	199.2	191.0	176.0
K12061	traW; conjugal transfer pilus assembly protein TraW	318.0	151.0	280.6	244.0	468.5	325.3	104.4	102.8	81.0	99.83	127.4	103.5	135.0	179.2	146.0	199.2	191.0	176.0
K12062	trbI; conjugal transfer pilin signal peptidase TrbI	193.0	61.0	137.6	136.0	210.5	129.3	13.4	27.8	21.0	1.83	27.4	24.5	68.0	69.2	41.0	23.2	50.0	88.0
K12063	traC; conjugal transfer ATP-binding protein TraC	318.0	151.0	267.6	232.0	451.5	320.3	104.4	104.8	81.0	99.83	119.4	103.5	129.0	168.2	146.0	199.2	191.0	163.0
K12064	traV; conjugal transfer pilus assembly protein TraV	275.0	120.0	267.6	214.0	418.5	242.3	78.4	74.8	60.0	79.83	119.4	85.5	108.0	137.2	120.0	127.2	179.0	153.0
K12065	traB; conjugal transfer pilus assembly protein TraB	216.0	61.0	124.6	124.0	215.5	163.3	13.4	27.8	21.0	1.83	19.4	42.5	62.0	77.2	49.0	44.2	62.0	75.0
K12066	traK; conjugal transfer pilus assembly protein TraK	298.0	120.0	267.6	214.0	440.5	281.3	78.4	74.8	60.0	79.83	119.4	103.5	108.0	156.2	120.0	148.20000000000005	191.0	153.0
K12067	traE; conjugal transfer pilus assembly protein TraE	105.0	59.0	143.6	90.0	247.5	157.3	65.4	51.8	39.0	79.83	119.4	85.5	46.0	99.2	87.0	128.20000000000002	141.0	78.0
