function	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
EC:2.5.1.6	Methionine adenosyltransferase	16199.95	17642.160000000003	20085.370000000006	19377.4	18745.78	18689.97	13543.52	16768.48	19044.54	14505.04	15807.240000000002	16669.620000000006	20005.32	21184.29	19494.25	20082.82	20020.6	19073.24
EC:2.5.1.60	Protein geranylgeranyltransferase type II	0.0	33.0	24.0	0.0	15.0	6.0	43.0	152.5	71.33	3.5	53.0	108.0	34.0	14.0	63.67	49.33	19.0	15.0
EC:2.5.1.61	Hydroxymethylbilane synthase	15816.45	16883.910000000003	19230.2	18543.9	18481.78	18292.42	13126.27	16362.73	18696.54	14118.54	15245.820000000003	16195.71	19320.24	20827.04	18597.75	19571.57	19623.27	18346.570000000003
EC:2.5.1.62	Chlorophyll synthase	1211.0	581.33	871.0	828.5	1358.5	787.8299999999998	1483.33	1210.83	1138.0	841.0	1451.67	1461.4899999999998	1994.83	2143.5	1340.0	1153.33	2100.67	1186.5
EC:2.5.1.68	(2Z,6E)-farnesyl diphosphate synthase	3622.25	6290.0	4624.67	4571.5	2581.83	3869.75	3093.25	4677.25	5402.75	3575.75	4052.0	3746.5	6120.5	5504.25	5386.0	6146.75	5677.09	5204.5
EC:2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	17909.37	18824.16	21277.25	21468.2	20383.25	20133.68	14871.579999999998	18622.33	20875.7	16012.24	17120.569999999996	18395.430000000004	21590.240000000005	23056.209999999995	20707.41	21395.739999999994	22142.51	20600.41
EC:2.5.1.72	Quinolinate synthase	13650.45	15380.16	16040.7	16357.9	15861.78	16483.92	11809.02	13430.48	15028.04	11896.04	13407.07	14470.96	16504.989999999998	17589.79	16613.25	16928.57	16881.93	15479.570000000003
EC:2.5.1.74	1,4-dihydroxy-2-naphthoate polyprenyltransferase	4395.08	6670.41	6432.37	5634.97	4562.76	4939.73	5266.43	6846.530000000002	6709.55	5306.39	5456.62	5976.84	8067.91	7733.37	7199.5	6791.190000000001	7407.58	6682.16
EC:2.5.1.75	tRNA dimethylallyltransferase	15301.45	16456.16	18720.7	18150.9	18329.28	17897.42	12768.52	15742.48	17283.04	13452.04	14807.570000000003	15725.96	18682.99	20208.79	18158.75	18380.57	19006.93	17801.570000000003
EC:2.5.1.76	Cysteate synthase	69.0	28.0	0.0	23.0	0.0	76.0	59.0	75.0	113.0	86.0	53.0	82.0	90.0	45.0	95.0	121.0	112.0	123.0
EC:2.5.1.77	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase	80.0	148.66	346.0	76.0	234.0	272.66	1972.66	1154.66	1282.0	510.0	1562.34	1995.98	1734.66	1736.0	1366.0	1025.66	2109.34	598.0
EC:2.5.1.78	6,7-dimethyl-8-ribityllumazine synthase	18751.95	18848.660000000003	22633.2	21788.4	23246.78	21548.92	14344.52	17787.98	19991.04	15967.04	17551.07	18097.960000000006	21701.490000000005	23935.29	20710.75	21028.57	22577.93	20987.070000000007
