	pielou_evenness
KO1	0.8578054340356444
KO2	0.8717637416047175
KO3	0.8367930970017097
KO4	0.8486263461060378
KO5	0.8231456389737535
KO6	0.8638845134844604
OE1	0.8879800410696511
OE2	0.8678420271967571
OE3	0.8486364598198781
OE4	0.8687708954716369
OE5	0.8758508586679703
OE6	0.8762982430493917
WT1	0.8391299409310051
WT2	0.8190626376616942
WT3	0.869056989260363
WT4	0.8564571051408938
WT5	0.8344892920712311
WT6	0.8598167975823211
