# Constructed from biom file
#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	taxonomy
16908489817e1cfdd163f13938103c93	1345.0	829.0	1660.0	1522.0	1889.0	1213.0	420.0	346.0	894.0	805.0	652.0	465.0	932.0	1116.0	666.0	853.0	1066.0	874.0
c40cc30ae45181d02b1f55e600a22236	669.0	1167.0	507.0	854.0	596.0	691.0	732.0	1001.0	836.0	540.0	699.0	617.0	1451.0	1701.0	1110.0	1255.0	923.0	1007.0
583f789c1c9501c9386e498f18e5af76	377.0	333.0	678.0	680.0	865.0	662.0	433.0	341.0	811.0	721.0	574.0	524.0	793.0	1391.0	820.0	921.0	889.0	600.0
2613542be210e163f03bf8393405f6aa	1004.0	312.0	387.0	577.0	951.0	402.0	370.0	445.0	344.0	402.0	505.0	337.0	853.0	1175.0	441.0	458.0	873.0	739.0
2de532901d69f6c44c9411e154934189	160.0	101.0	925.0	287.0	940.0	228.0	93.0	922.0	655.0	333.0	131.0	183.0	634.0	705.0	450.0	170.0	445.0	662.0
918e42d19fae443929267607a0906a2e	339.0	318.0	377.0	273.0	121.0	220.0	205.0	359.0	1010.0	531.0	341.0	319.0	437.0	561.0	385.0	689.0	301.0	327.0
b2e2e66f74585fbaa04a53f2e374edda	541.0	427.0	548.0	573.0	928.0	684.0	142.0	171.0	237.0	224.0	223.0	233.0	367.0	372.0	330.0	376.0	338.0	333.0
7772ab45417ce7f94580ca640332faea	236.0	519.0	242.0	298.0	164.0	388.0	188.0	285.0	401.0	248.0	325.0	286.0	407.0	216.0	314.0	280.0	485.0	347.0
f409e1c0ea1ba1769ba10adf78402913	231.0	257.0	478.0	511.0	652.0	421.0	117.0	122.0	208.0	184.0	262.0	189.0	244.0	432.0	174.0	187.0	383.0	208.0
e18463edc0ad6dc5e4c56abe5da548e1	236.0	260.0	220.0	270.0	394.0	283.0	354.0	299.0	183.0	290.0	259.0	160.0	339.0	396.0	414.0	331.0	248.0	300.0
e2df26c03c0638a1af8a188baac28c9c	133.0	137.0	293.0	283.0	379.0	293.0	126.0	407.0	387.0	223.0	355.0	141.0	251.0	230.0	344.0	203.0	465.0	406.0
b735fdbe550786eda1c3f9208a992768	21.0	92.0	458.0	236.0	132.0	171.0	124.0	553.0	511.0	328.0	191.0	88.0	213.0	232.0	187.0	160.0	353.0	434.0
6479b61d7a9d6fc01f7c87fd2d411149	181.0	223.0	240.0	246.0	275.0	238.0	155.0	141.0	217.0	202.0	221.0	181.0	256.0	425.0	307.0	335.0	210.0	241.0
2457d3a95c5d465e4a5c8247fa7b6976	192.0	241.0	252.0	218.0	201.0	256.0	188.0	228.0	220.0	175.0	218.0	272.0	189.0	177.0	207.0	224.0	216.0	219.0
